college,UNITID,ipeds_name,cs_cip_codes,2021,2022,2023,2024
Virginia Wesleyan University,234173,Virginia Wesleyan University,11.0101;30.0801,7,7,8,12
Wabash College,152673,Wabash College,11.0701,4,5,11,10
Wartburg College,154527,Wartburg College,11.0101,10,12,11,11
Washington and Lee University,234207,Washington and Lee University,11.0701,15,15,20,18
Washington College,164216,Washington College,11.0701,13,11,6,9
Washington & Jefferson College,216667,Washington & Jefferson College,,0,0,0,0
Wellesley College,168218,Wellesley College,11.0101;11.0899;30.0801,71,94,106,107
Wesleyan University,130697,Wesleyan University,11.0701,41,54,62,39
Westminster College (PA),179946,Westminster College,11.0101,3,2,3,7
Westmont College,125727,Westmont College,11.0101,10,11,19,12
Wheaton College (IL),149781,Wheaton College,11.0701,14,7,17,17
Wheaton College (MA),168281,Wheaton College (Massachusetts),11.0701,18,12,11,8
Whitman College,237057,Whitman College,11.0101;11.0701;30.0801;30.3101,18,19,22,22
Willamette University,210401,Willamette University,11.0701,13,10,5,18
Williams College,168342,Williams College,11.0701,46,49,56,63
Wittenberg University,206525,Wittenberg University,11.0701,5,5,8,14
Wofford College,218973,Wofford College,11.0701,13,19,9,13
