name,title,college,url
Vijay Ramachandran,Associate Professor,Colgate College,https://www.colgate.edu/about/directory/vramachandran
Joel Sommers,Professor,Colgate College,https://www.colgate.edu/about/directory/jsommers
Katelyn Valete,Lab Instructor,Colgate College,https://www.colgate.edu/about/directory/kvalete
Puck Wen,Assistant Professor,Colgate College,https://www.colgate.edu/about/directory/rwen
Heather Amthauer,Associate Professor,College of St Benedict,https://www.csbsju.edu/computer-science/person/heather-amthauer/
Robert Hesse,Associate Professor,College of St Benedict,https://www.csbsju.edu/computer-science/person/robert-hesse/
Peter Ohmann,Associate Professor,College of St Benedict,https://www.csbsju.edu/computer-science/person/peter-ohmann/
Imad Rahal,Professor,College of St Benedict,https://www.csbsju.edu/computer-science/person/imad-rahal/
Vijay Srinivas Tida,Assistant Professor,College of St Benedict,https://www.csbsju.edu/computer-science/person/vijay-srinivas-tida/
Srikanth Vemula,Assistant Professor,College of St Benedict,https://www.csbsju.edu/computer-science/person/srikanth-vemula/
Eric Ruggieri,Professor,College of the Holy Cross,https://www.holycross.edu/academics/people/eric-ruggieri
Alisa DeStefano,Professor,College of the Holy Cross,https://www.holycross.edu/academics/people/alisa-destefano
Wenxin Du,Assistant Professor,College of the Holy Cross,https://www.holycross.edu/academics/people/wenxin-du
Zack Fitzsimmons,Associate Professor,College of the Holy Cross,https://www.holycross.edu/academics/people/zack-fitzsimmons
Sharon Frechette,Associate Professor,College of the Holy Cross,https://www.holycross.edu/academics/people/sharon-frechette
Heather Guarnera,Assistant Professor,College of Wooster,https://wooster.edu/bio/hguarnera/
Drew Guarnera,Assistant Professor,College of Wooster,https://wooster.edu/bio/dguarnera/
John Musgrave,Visiting Assistant Professor,College of Wooster,https://wooster.edu/bio/john-musgrave/
Alex Nord,Assistant Professor,College of Wooster,https://wooster.edu/bio/alex-nord/
Dan Palmer,Professor,College of Wooster,https://wooster.edu/bio/danpalmer/
Sofia Visa,Professor,College of Wooster,https://wooster.edu/bio/svisa/
