name,title,college,openalex_id,openalex_citedby,openalex_hindex,openalex_i10index
Todd W. Neller,Professor,Gettysburg College,A5028487946,387,9,8
Irvin J. Levy,Professor,Gordon College,A5049442610,513,11,11
Jonathan R. Senning,Professor,Gordon College,A5017914002,55,2,1
Russell C. Bjork,Professor,Gordon College,,,,
Jill Zimmerman,Professor,Goucher College,A5087480350,30,3,2
Mohammad Naderi Dehkordi,Associate Professor,Goucher College,,,,
Robert Lewand,Professor,Goucher College,A5001439595,259,5,4
Thomas Kelliher,Associate Professor,Goucher College,A5108526002,144,6,4
Ali Allami,Associate Professor,Grinnell College,,,,
Charlie Curtsinger,Associate Professor,Grinnell College,A5053167314,907,10,10
Eric Autry,Assistant Professor,Grinnell College,,,,
Fernanda Eliott,Assistant Professor,Grinnell College,A5070023579,7,1,0
Jerod Weinman,Associate Professor,Grinnell College,A5061152084,798,15,22
Nicole Eikmeier,Associate Professor,Grinnell College,A5088002094,209,7,7
Peter-Michael Osera,Associate Professor,Grinnell College,A5020115127,590,8,8
Samuel A. Rebelsky,Professor,Grinnell College,A5003071239,288,9,7
Shawn Ong,Assistant Professor,Grinnell College,,,,
William Rebelsky,Assistant Professor,Grinnell College,A5055697563,18,3,0
Aaron Nienow,Senior Instructor,Gustavus Adolphus College,,,,
Baili Chen,Associate Professor,Gustavus Adolphus College,,,,
Guarionex Salivia,Associate Professor,Gustavus Adolphus College,A5026914794,38,3,1
Jacob Siehler,Associate Professor,Gustavus Adolphus College,A5025689795,79,3,2
Jeff Ford,Visiting Assistant Professor,Gustavus Adolphus College,A5110437679,25,2,1
Jillian Downey,Associate Professor,Gustavus Adolphus College,A5027888988,32,3,1
Laura Hildreth,Associate Professor,Gustavus Adolphus College,A5082555810,105,6,5
Louis Yu,Associate Professor,Gustavus Adolphus College,A5111448215,716,12,12
Thomas LoFaro,Professor,Gustavus Adolphus College,A5068789022,456,9,9
Darren Strash,Associate Professor,Hamilton College,A5066225806,1243,15,18
Han Dong,Assistant Professor,Hamilton College,A5101516561,404,8,7
Karyn Doke,Assistant Professor,Hamilton College,,,,
Sarah Morrison-Smith,Assistant Professor,Hamilton College,A5087816404,828,8,8
Shawn Chen,Assistant Professor,Hamilton College,,,,
Thomas Helmuth,Associate Professor,Hamilton College,A5083108240,1413,20,38
Wenbo Wang,Visiting Assistant Professor,Hamilton College,,,,
Brian Lins,Professor,Hampden-Sydney College,,,,
Dylan Domel-White,Assistant Professor,Hampden-Sydney College,,,,
John Machacek,Assistant Professor,Hampden-Sydney College,,,,
Joseph Rennie,Assistant Professor,Hampden-Sydney College,,,,
Michael C. Strayer,Associate Professor,Hampden-Sydney College,,,,
Rebecca Jayne,Associate Professor,Hampden-Sydney College,,,,
Sarah Loeb,Associate Professor,Hampden-Sydney College,,,,
William Tolley,Assistant Professor,Hampden-Sydney College,,,,
Barbara Wahl,Professor,Hanover College,A5079610149,0,0,0
Haris Skiadas,Professor,Hanover College,,,,
Jeffrey LaMarche,Visiting Instructor,Hanover College,,,,
Howard Lichtman,Professor,Hartwick College,,,,
Arthi Padmanabhan,Assistant Professor,Harvey Mudd College,A5069421494,265,4,1
Ben Wiedermann,Associate Professor,Harvey Mudd College,A5006874689,2593,12,15
Beth Trushkowsky,Associate Professor,Harvey Mudd College,A5074747066,506,8,7
Calden Wloka,Assistant Professor,Harvey Mudd College,,,,
Chris Stone,Professor,Harvey Mudd College,A5068034903,4926,32,60
Erin Talvitie,Professor,Harvey Mudd College,A5078503328,15,3,0
George Montañez,Associate Professor,Harvey Mudd College,A5041066830,264,7,7
Jim Boerkoel,Professor,Harvey Mudd College,A5055168327,326,12,13
Jonathan Chang,Assistant Professor,Harvey Mudd College,A5112330765,1027,10,11
Julie Medero,Associate Professor,Harvey Mudd College,A5040137230,101,7,5
Katherine Breeden,Associate Professor,Harvey Mudd College,A5034352058,428,5,5
Lucas Bang,Associate Professor,Harvey Mudd College,A5061187880,337,8,7
Lynn Kirabo,Assistant Professor,Harvey Mudd College,A5064962100,141,6,6
Melissa O'Neill,Professor,Harvey Mudd College,A5023450850,250,8,7
Tim Randolph,Assistant Professor,Harvey Mudd College,A5102956208,113,4,2
Vidushi Ojha,Assistant Professor,Harvey Mudd College,A5054445678,9,1,0
Xanda Schofield,Associate Professor,Harvey Mudd College,,,,
Zach Dodds,Professor,Harvey Mudd College,A5037794678,900,16,19
Alvin Grissom,Associate Professor,Haverford College,A5088386242,463,5,5
David Wonnacott,Professor,Haverford College,A5048744223,1736,20,24
Dung Nguyen,Visiting Assistant Professor,Haverford College,,,,
John Dougherty,Associate Professor,Haverford College,A5015357170,248,9,7
Sorelle Friedler,Professor,Haverford College,A5086384189,6487,20,29
Steven Lindell,Professor,Haverford College,A5031196296,319,8,8
Thao Nguyen,Assistant Professor,Haverford College,,,,
Brent A. Yorgey,Associate Professor,Hendrix College,A5058418924,308,7,5
Brian Delavan,Adjunct Professor,Hendrix College,,,,
Gabriel Ferrer,Professor,Hendrix College,A5085367021,57,4,2
Mark Goadrich,Professor,Hendrix College,A5075296222,6478,7,7
Chris Fietkiewicz,Associate Professor,Hobart and William Smith College,,,,
Erika L.C. King,Associate Professor,Hobart and William Smith College,,,,
Hanqing Hu,Assistant Professor,Hobart and William Smith College,,,,
Jennifer Biermann,Associate Professor,Hobart and William Smith College,,,,
Jocelyn Bell,Associate Professor,Hobart and William Smith College,,,,
Jonathan E Forde,Professor,Hobart and William Smith College,,,,
Joseph Rusinko,Professor,Hobart and William Smith College,,,,
Stina S Bridgeman,Associate Professor,Hobart and William Smith College,,,,
Yan Hao,Associate Professor,Hobart and William Smith College,,,,
Charles Cusack,Professor,Hope College,A5016956491,111,7,5
Fola Olagbemi,Assistant Professor,Hope College,,,,
Michael Jipping,Professor,Hope College,A5066193809,122,5,4
Ryan McFall,Professor,Hope College,A5070840199,213,7,5
Babafemi Sorinolu,Assistant Professor,Houghton University,A5128366693,0,0,0
Katrina Koehler,Associate Professor,Houghton University,,,,
Takako Soma,Associate Professor,Illinois College,A5113832994,188,3,2
Elainea Neville,Instructor,Juniata College,,,,
Gerald W. Kruse,Professor,Juniata College,A5073819492,135,4,2
Jianyuan Ni,Assistant Professor,Juniata College,A5016414308,143,5,4
Jigar Patel,Lecturer,Juniata College,,,,
John J. Wright,Associate Professor,Juniata College,A5044784389,951,14,21
William H. Thomas,Professor,Juniata College,A5022216405,10,2,0
Alyce Brady,Professor,Kalamazoo College,A5082967524,119,5,3
Nicholas Polanco,Visiting Assistant Professor,Kalamazoo College,,,,
Pam Cutter,Professor,Kalamazoo College,A5031857701,44,3,2
Sandino Vargas-Pérez,Associate Professor,Kalamazoo College,,,,
Tasnim Gharaibeh,Assistant Professor,Kalamazoo College,A5070919177,133,3,1
David Bunde,Professor,Knox College,A5005348702,443,11,13
Jaime Spacco,Associate Professor,Knox College,A5017333566,1895,22,30
Jurdana Masuma Iqrah,Assistant Professor,Knox College,,,,
Michael Gerten,Visiting Instructor,Knox College,A5032072064,19,3,0
Shengting Cao,Assistant Professor,Knox College,A5133855176,0,0,0
Christian Lopez,Assistant Professor,Lafayette College,,,,
Ge Xia,Professor,Lafayette College,A5112078381,2258,19,36
Jeffrey O. Pfaffmann,Associate Professor,Lafayette College,A5073700642,66,5,3
Jia Tao,Associate Professor,Lafayette College,A5037154317,10,2,0
Jonathan Dahl,Senior Lecturer,Lafayette College,,,,
Jorge Silveyra,Assistant Professor,Lafayette College,A5117400454,2,1,0
Justin Smith,Assistant Professor,Lafayette College,A5020005323,1853,16,21
Lauren Biernacki,Assistant Professor,Lafayette College,A5042598156,95,5,3
Sofia Serrano,Assistant Professor,Lafayette College,A5045156473,473,4,4
Craig Knuckles,Professor,Lake Forest College,A5036161189,14,2,0
Dakotah Lambert,Assistant Professor,Lake Forest College,A5135268045,0,0,0
Enrique Trevino,Professor,Lake Forest College,,,,
Gunjan Sharma,Visiting Assistant Professor,Lake Forest College,A5133297205,0,0,0
Sara Jamshidi,Assistant Professor,Lake Forest College,,,,
Sugata Banerji,Associate Professor,Lake Forest College,A5011038179,283,9,8
Kent Tyler,Assistant Professor,Lane College,,,,
Kitai Jeong,Assistant Professor,Lane College,,,,
Sheldon Liang,Assistant Professor,Lane College,A5108434652,65,5,3
Acacia Ackles,Assistant Professor,Lawrence University,,,,
Joseph N. Gregg,Associate Professor,Lawrence University,A5053236373,5,1,0
Kurt Krebsbach,Professor,Lawrence University,A5054526238,202,7,6
Kyle Diederich,Visiting Assistant Professor,Lawrence University,,,,
David Lovitz,Visiting Professor,Lewis & Clark College,,,,
Sweta Suryanarayan,Assistant Professor,Lewis & Clark College,,,,
Chuck Lundon,Professor,Linfield University,,,,
Daniel Ford,Assistant Professor,Linfield University,,,,
Jennifer Nordstrom,Professor,Linfield University,,,,
Kate Lorenzen,Assistant Professor,Linfield University,,,,
Mike Hitchman,Professor,Linfield University,,,,
Nurideen Abubakari,Assistant Professor,Linfield University,,,,
Stephen Bricher,Professor,Linfield University,,,,
Yujie Wang,Assistant Professor,Linfield University,,,,
Kar Ee Ho,Assistant Professor,Luther College,,,,
Roman Yasinovskyy,Associate Professor,Luther College,,,,
Sanad Aburass,Assistant Professor,Luther College,A5016244805,280,9,9
