name,title,college,field,subfields
Stacy Doore,Assistant Professor,Colby College,Computer Science,Human-computer interaction|Artificial intelligence
Allen Harper,Assistant Professor,Colby College,Computer Science,Algorithms & complexity
Ike Lage,Assistant Professor,Colby College,Computer Science,Machine learning|Human-computer interaction
Oliver Layton,Associate Professor,Colby College,Computer Science,Computer vision|Machine learning
Ying Li,Associate Professor,Colby College,Computer Science,Computer networks
Hannen Wolfe,Assistant Professor,Colby College,Computer Science,Robotics
Noah Apthorpe,Assistant Professor,Colgate University,Computer Science,Computer security & privacy|Human-computer interaction|Machine learning|Computer networks
Valerie Cucura,Senior Lab Instructor,Colgate University,Computer Science,
Forrest Davis,Assistant Professor,Colgate University,Computer Science,Natural language processing|Artificial intelligence
Nicholas Diana,Assistant Professor,Colgate University,Computer Science,Artificial intelligence|Human-computer interaction
Elodie Fourquet,Associate Professor,Colgate University,Computer Science,Computer graphics|Computer vision|Human-computer interaction
Aaron Gember-Jacobson,Associate Professor,Colgate University,Computer Science,Computer networks
Georgiana Haldeman,Assistant Professor,Colgate University,Computer Science,Computer science education
Matt Lyboult,Senior Lab Instructor,Colgate University,Computer Science,
David Perkins,Visiting Assistant Professor,Colgate University,Computer Science,
Grusha Prasad,Assistant Professor,Colgate University,Computer Science,Natural language processing
Vijay Ramachandran,Associate Professor,Colgate University,Computer Science,Computer networks|Algorithms & complexity|Economics & computation
Joel Sommers,Professor,Colgate University,Computer Science,Computer networks|Measurement & performance analysis|Distributed systems|Computer architecture
Katelyn Valete,Lab Instructor,Colgate University,Computer Science,
Puck Wen,Assistant Professor,Colgate University,Computer Science,Robotics|Human-computer interaction
Heather Amthauer,Associate Professor,College of St Benedict,Computer Science,Data science
Robert Hesse,Associate Professor,College of St Benedict,Mathematics or Statistics,
Peter Ohmann,Associate Professor,College of St Benedict,Computer Science,Software engineering|Programming languages
Imad Rahal,Professor,College of St Benedict,Computer Science,Data science|Databases
Vijay Srinivas Tida,Assistant Professor,College of St Benedict,Computer Science,Machine learning
