name,title,college,field,subfields
Barbara Wahl,Professor,Hanover College,Mathematics or Statistics,
Howard Lichtman,Professor,Hartwick College,Computer Science,Computer security & privacy|Computer networks|Computer architecture
Jim Boerkoel,Professor,Harvey Mudd College,Computer Science,Artificial intelligence|Robotics|Human-computer interaction
Julie Medero,Associate Professor,Harvey Mudd College,Computer Science,Natural language processing
Lucas Bang,Associate Professor,Harvey Mudd College,Computer Science,Logic & verification|Algorithms & complexity|Programming languages
Katherine Breeden,Associate Professor,Harvey Mudd College,Computer Science,Computer graphics|Visualization|Computational bio & bioinformatics
Jonathan Chang,Assistant Professor,Harvey Mudd College,Computer Science,Natural language processing|Computational social science
Zach Dodds,Professor,Harvey Mudd College,Computer Science,Computer science education
Lynn Kirabo,Assistant Professor,Harvey Mudd College,Computer Science,Human-computer interaction
George Montañez,Associate Professor,Harvey Mudd College,Computer Science,Machine learning
Vidushi Ojha,Assistant Professor,Harvey Mudd College,Computer Science,Computer science education
Melissa O'Neill,Professor,Harvey Mudd College,Computer Science,Programming languages|Software engineering
Arthi Padmanabhan,Assistant Professor,Harvey Mudd College,Computer Science,Computer networks|Distributed systems|Machine learning|Software engineering
Tim Randolph,Assistant Professor,Harvey Mudd College,Computer Science,Algorithms & complexity|Computer science education
Xanda Schofield,Associate Professor,Harvey Mudd College,Computer Science,Natural language processing|Machine learning
Chris Stone,Professor,Harvey Mudd College,Computer Science,Logic & verification|Programming languages
Erin Talvitie,Associate Professor,Harvey Mudd College,Computer Science,Artificial intelligence|Machine learning|Natural language processing
Beth Trushkowsky,Associate Professor,Harvey Mudd College,Computer Science,Databases|Distributed systems
Ben Wiedermann,Professor,Harvey Mudd College,Computer Science,Programming languages|Software engineering
Calden Wloka,Assistant Professor,Harvey Mudd College,Computer Science,Computer vision|Artificial intelligence
John Dougherty,Associate Professor,Haverford College,Computer Science,Computer science education|Human-computer interaction
Sorelle Friedler,Professor,Haverford College,Computer Science,Artificial intelligence|Machine learning|Human-computer interaction
Alvin Grissom,Associate Professor,Haverford College,Computer Science,Natural language processing
Steven Lindell,Professor,Haverford College,Computer Science,Algorithms & complexity|Logic & verification
Dung Nguyen,Visiting Assistant Professor,Haverford College,Computer Science,Computer security & privacy|Machine learning
Thao Nguyen,Assistant Professor,Haverford College,Computer Science,Robotics|Natural language processing
David Wonnacott,Professor,Haverford College,Computer Science,
Gabriel Ferrer,Professor,Hendrix College,Computer Science,Artificial intelligence|Robotics|Machine learning
Mark Goadrich,Professor,Hendrix College,Computer Science,Artificial intelligence|Games & interactive art
Brent A. Yorgey,Associate Professor,Hendrix College,Computer Science,Programming languages|Algorithms & complexity
Brian Delavan,Adjunct Professor,Hendrix College,Computer Science,
Joseph Rusinko,Associate Professor,Hobart and William Smith College,Mathematics or Statistics,
Jonathan E Forde,Professor,Hobart and William Smith College,Mathematics or Statistics,
Jocelyn Bell,Associate Professor,Hobart and William Smith College,Mathematics or Statistics,
Jennifer Biermann,Associate Professor,Hobart and William Smith College,Mathematics or Statistics,
Stina S Bridgeman,Associate Professor,Hobart and William Smith College,Computer Science,
Chris Fietkiewicz,Associate Professor,Hobart and William Smith College,Computer Science,High-performance computing|Computational bio & bioinformatics
Yan Hao,Associate Professor,Hobart and William Smith College,Computer Science,
Hanqing Hu,Assistant Professor,Hobart and William Smith College,Computer Science,
Erika L.C. King,Associate Professor,Hobart and William Smith College,Mathematics or Statistics,
Michael Jipping,Professor,Hope College,Computer Science,Human-computer interaction|Mobile computing
Charles Cusack,Professor,Hope College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics|Computer graphics
Ryan McFall,Professor,Hope College,Computer Science,Human-computer interaction|Software engineering|Computer science education
Fola Olagbemi,Assistant Professor,Hope College,Computer Science,High-performance computing|Machine learning
Katrina Koehler,Associate Professor,Houghton University,Computer Science,Data science
Babafemi Sorinolu,Assistant Professor,Houghton University,Computer Science,Machine learning|Data science
Takako Soma,Associate Professor,Illinois College,Computer Science,Programming languages|Algorithms & complexity
Gerald W. Kruse,Professor,Juniata College,Computer Science,Computer science education|High-performance computing
Elainea Neville,Instructor,Juniata College,Computer Science,
Jianyuan Ni,Assistant Professor,Juniata College,Computer Science,Machine learning|Mobile computing|Artificial intelligence
William H. Thomas,Professor,Juniata College,Computer Science,Computer networks|Databases
John J. Wright,Associate Professor,Juniata College,Computer Science,Human-computer interaction|Computer science education
Jigar Patel,Lecturer,Juniata College,Computer Science,
Alyce Brady,Professor,Kalamazoo College,Computer Science,Computer science education|Software engineering|Programming languages
Pam Cutter,Professor,Kalamazoo College,Computer Science,Computer science education|Human-computer interaction
Tasnim Gharaibeh,Assistant Professor,Kalamazoo College,Computer Science,Algorithms & complexity
Nicholas Polanco,Visiting Assistant Professor,Kalamazoo College,Computer Science,Computer security & privacy|Software engineering
Sandino Vargas-Pérez,Associate Professor,Kalamazoo College,Computer Science,High-performance computing|Algorithms & complexity|Computational bio & bioinformatics|Data science
David Bunde,Professor,Knox College,Computer Science,High-performance computing|Algorithms & complexity|Software engineering|Computer science education
Shengting Cao,Assistant Professor,Knox College,Computer Science,Artificial intelligence|Computer vision
Michael Gerten,Visiting Instructor,Knox College,Computer Science,Software engineering
Jurdana Masuma Iqrah,Assistant Professor,Knox College,Computer Science,Machine learning|Computer vision|High-performance computing|Distributed systems
Jaime Spacco,Associate Professor,Knox College,Computer Science,Software engineering|Computer science education
Ge Xia,Professor,Lafayette College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Lauren Biernacki,Assistant Professor,Lafayette College,Computer Science,Computer architecture|Computer security & privacy
Jonathan Dahl,Senior Lecturer,Lafayette College,Computer Science,Algorithms & complexity|Computer security & privacy
Christian Lopez,Assistant Professor,Lafayette College,Computer Science,Machine learning|Human-computer interaction
Jeffrey O. Pfaffmann,Associate Professor,Lafayette College,Computer Science,Artificial intelligence|Computational bio & bioinformatics
Sofia Serrano,Assistant Professor,Lafayette College,Computer Science,Natural language processing
Jorge Silveyra,Assistant Professor,Lafayette College,Computer Science,
Justin Smith,Assistant Professor,Lafayette College,Computer Science,Software engineering|Human-computer interaction|Computer security & privacy
Jia Tao,Associate Professor,Lafayette College,Computer Science,Artificial intelligence|Logic & verification
Enrique Trevino,Professor,Lake Forest College,Mathematics or Statistics,
Sugata Banerji,Associate Professor,Lake Forest College,Computer Science,Computer vision|Machine learning
Sara Jamshidi,Assistant Professor,Lake Forest College,Computer Science,Artificial intelligence|Machine learning
Craig Knuckles,Professor,Lake Forest College,Computer Science,Computer networks|Software engineering|Databases
Dakotah Lambert,Assistant Professor,Lake Forest College,Computer Science,Natural language processing|Algorithms & complexity|Logic & verification
Gunjan Sharma,Visiting Assistant Professor,Lake Forest College,Mathematics or Statistics,
Kitai Jeong,Assistant Professor,Lane College,Computer Science,
Sheldon Liang,Assistant Professor,Lane College,Computer Science,Computer vision
Kent Tyler,Assistant Professor,Lane College,Computer Science,
Acacia Ackles,Assistant Professor,Lawrence University,Computer Science,Computational bio & bioinformatics
Kyle Diederich,Visiting Assistant Professor,Lawrence University,Computer Science,
Joseph N. Gregg,Associate Professor,Lawrence University,Computer Science,Software engineering|Algorithms & complexity
Kurt Krebsbach,Professor,Lawrence University,Computer Science,
David Lovitz,Visiting Professor,Lewis & Clark College,Mathematics or Statistics,
Sweta Suryanarayan,Assistant Professor,Lewis & Clark College,Mathematics or Statistics,
Nurideen Abubakari,Visiting Assistant Professor,Linfield University,Computer Science,
Stephen Bricher,Professor,Linfield University,Mathematics or Statistics,
Daniel Ford,Assistant Professor,Linfield University,Computer Science,Artificial intelligence|Algorithms & complexity
Mike Hitchman,Professor,Linfield University,Mathematics or Statistics,
Kate Lorenzen,Assistant Professor,Linfield University,Mathematics or Statistics,
Chuck Lundon,Professor,Linfield University,Mathematics or Statistics,
Jennifer Nordstrom,Professor,Linfield University,Mathematics or Statistics,
Yujie Wang,Assistant Professor,Linfield University,Computer Science,Natural language processing|Machine learning
Roman Yasinovskyy,Associate Professor,Luther College,Computer Science,
Thuy Do,Assistant Professor,Luther College,Computer Science,Machine learning|Distributed systems
Kar Ee Ho,Assistant Professor,Luther College,Computer Science,
Sanad Aburass,Assistant Professor,Luther College,Computer Science,Machine learning|Computer vision
Krish Pillai,Assistant Professor,Lycoming College,Computer Science,Games & interactive art|Computer graphics|Mobile computing
Adrian Rublein,Assistant Professor,Lycoming College,Computer Science,Computer networks|Artificial intelligence
Marcus Birkenkrahe,Associate Professor,Lyon College,Computer Science,Data science
Pietro Dall'Olio,Assistant Professor,Lyon College,Computer Science,
Shilad Sen,Professor,Macalester College,Computer Science,Information retrieval|Human-computer interaction
Amin Alhashim,Visiting Assistant Professor,Macalester College,Computer Science,Computer science education
Suhas Arehalli,Assistant Professor,Macalester College,Computer Science,Natural language processing
Paul Cantrell,Senior Instructor,Macalester College,Computer Science,Programming languages|Games & interactive art
Dan Drake,Visiting Assistant Professor,Macalester College,Computer Science,Data science|Computer science education
Lian Duan,Instructor,Macalester College,Computer Science,Software engineering|Logic & verification
Elizabeth Ernst,Assistant Professor,Macalester College,Computer Science,Algorithms & complexity
Susan Fox,Professor,Macalester College,Computer Science,Robotics|Machine learning|Computer vision|Artificial intelligence
Bret Jackson,Associate Professor,Macalester College,Computer Science,Visualization|Human-computer interaction
Abby Marsh,Associate Professor,Macalester College,Computer Science,Computer security & privacy|Human-computer interaction
Lauren Milne,Associate Professor,Macalester College,Computer Science,Human-computer interaction
Daniel O'Loughlin,Visiting Assistant Professor,Macalester College,Mathematics or Statistics,
Getiria Onsongo,Associate Professor,Macalester College,Computer Science,Computational bio & bioinformatics
Joslenne Peña,Assistant Professor,Macalester College,Computer Science,Computer science education|Human-computer interaction
Elizabeth Shoop,Professor,Macalester College,Computer Science,Computational bio & bioinformatics|Visualization|Distributed systems
Barbara Johnson,Associate Professor,Maryville College,Computer Science,Software engineering
Jennifer Hontz,Professor,Meredith College,Mathematics or Statistics,
Kristin Watkins,Professor of Practice,Meredith College,Computer Science,Software engineering|Computer science education
Mark Gass,Assistant Professor of Practice,Meredith College,Computer Science,Software engineering|Programming languages|Distributed systems|Computer networks|High-performance computing
Christopher Andrews,Associate Professor,Middlebury College,Computer Science,Human-computer interaction|Visualization|Computer graphics
Laura Biester,Assistant Professor,Middlebury College,Computer Science,Natural language processing|Computational social science
Amy Briggs,Professor,Middlebury College,Computer Science,Algorithms & complexity|Programming languages|Data science|Information retrieval|Distributed systems
Philip Caplan,Assistant Professor,Middlebury College,Computer Science,Computational bio & bioinformatics|Visualization|Algorithms & complexity
Phil Chodrow,Assistant Professor,Middlebury College,Computer Science,Data science|Machine learning|Information retrieval|Computer security & privacy|Human-computer interaction
Ananya Das,Associate Professor,Middlebury College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Matthew Dickerson,Professor,Middlebury College,Computer Science,
Smith Gakuya,Visiting Lab Instructor,Middlebury College,Computer Science,Software engineering
Peter Johnson,Associate Professor,Middlebury College,Computer Science,Computer architecture|Operating systems|Computer networks|Computer security & privacy|Programming languages
Shelby Kimmel,Associate Professor,Middlebury College,Computer Science,Quantum computing|Algorithms & complexity
Michael Linderman,Associate Professor,Middlebury College,Computer Science,Computational bio & bioinformatics|Machine learning
Frank Swenton,Professor,Middlebury College,Computer Science,Algorithms & complexity|Logic & verification
Andrea Vaccari,Associate Professor,Middlebury College,Computer Science,Computer vision|Data science|Embedded & real-time systems
Robert Utterback,Adjunct Professor,Monmouth College,Computer Science,Data science|Natural language processing
Logan Mayfield,Professor,Monmouth College,Computer Science,Quantum computing
Lisa A. Ballesteros,Associate Professor,Mount Holyoke College,Computer Science,Information retrieval|Computer science education
Alyxander Burns,Assistant Professor,Mount Holyoke College,Computer Science,Visualization|Human-computer interaction
Barbara Staudt Lerner,Professor,Mount Holyoke College,Computer Science,Information retrieval|Data science|Human-computer interaction
Tony Liu,Assistant Professor,Mount Holyoke College,Computer Science,Machine learning|Artificial intelligence
James McCauley,Assistant Professor,Mount Holyoke College,Computer Science,Computer networks|Distributed systems|Computer architecture
Heather Pon-Barry,Associate Professor,Mount Holyoke College,Computer Science,Human-computer interaction|Natural language processing
Audrey St. John,Professor,Mount Holyoke College,Computer Science,Algorithms & complexity|Robotics
Melody Su,Assistant Professor,Mount Holyoke College,Computer Science,Robotics|Computer vision|Artificial intelligence|High-performance computing
Diane Uwacu,Assistant Professor,Mount Holyoke College,Computer Science,Robotics|Computational bio & bioinformatics
Michael Allocca,Associate Professor,Muhlenberg College,Mathematics or Statistics,
Abbey D'Ovidio,Assistant Professor,Muhlenberg College,Mathematics or Statistics,
Allison Davidson,Associate Professor,Muhlenberg College,Mathematics or Statistics,
William Gryc,Professor,Muhlenberg College,Mathematics or Statistics,
Youngsun Jang,Assistant Professor,Muhlenberg College,Computer Science,Machine learning|Quantum computing|Data science
Michael Karcher,Assistant Professor,Muhlenberg College,Mathematics or Statistics,
Linda McGuire,Professor,Muhlenberg College,Mathematics or Statistics,
Proyash Podder,Assistant Professor,Muhlenberg College,Computer Science,Computer networks|Computer security & privacy|Embedded & real-time systems
James Russell,Associate Professor,Muhlenberg College,Mathematics or Statistics,
Elyn Rykken,Professor,Muhlenberg College,Mathematics or Statistics,
Gary Shufelt,Adjunct Professor,Muhlenberg College,Mathematics or Statistics,
Hamed Yaghoobian,Assistant Professor,Muhlenberg College,Computer Science,Natural language processing|Human-computer interaction
Fahmida Hamid,Assistant Professor,New College of Florida,Computer Science,Natural language processing|Information retrieval|Computer science education
David Gillman,Associate Professor,New College of Florida,Computer Science,Computer vision
Daniel Page,Visiting Assistant Professor,New College of Florida,Computer Science,Algorithms & complexity|Computational bio & bioinformatics|Software engineering|Human-computer interaction|Information retrieval
Gil Salu,Visiting Assistant Professor,New College of Florida,Computer Science,Data science
Cynthia Taylor,Associate Professor,Oberlin College,Computer Science,Computer science education
Stephen Checkoway,Associate Professor,Oberlin College,Computer Science,Computer security & privacy
Adam Eck,Associate Professor,Oberlin College,Computer Science,Artificial intelligence|Machine learning
Molly Q Feldman,Assistant Professor,Oberlin College,Computer Science,Human-computer interaction|Programming languages|Computer science education
Joshua H. Davidson,Assistant Professor,Oberlin College,Computer Science,Data science|Information retrieval
Mary Hogan,Assistant Professor,Oberlin College,Computer Science,Computer networks
Roberto Hoyle,Associate Professor,Oberlin College,Computer Science,Computer security & privacy|Human-computer interaction
Howard Levinson,Assistant Professor,Oberlin College,Computer Science,Algorithms & complexity
Michael McCarrin,Assistant Professor,Oberlin College,Computer Science,Artificial intelligence|Algorithms & complexity
Sam Taggart,Associate Professor,Oberlin College,Computer Science,Economics & computation|Algorithms & complexity|Games & interactive art
Emily Wang,Assistant Professor,Oberlin College,Computer Science,Human-computer interaction
Noel Warford,Visiting Assistant Professor,Oberlin College,Computer Science,Human-computer interaction|Computer security & privacy
Justin Li,Associate Professor,Occidental College,Computer Science,Artificial intelligence
Hector M. Camarillo Abad,Assistant Professor,Occidental College,Computer Science,Artificial intelligence|Human-computer interaction|Mobile computing
Kathryn Leonard,Professor,Occidental College,Computer Science,Computer vision|Computational bio & bioinformatics
Teddy Pozo,Assistant Professor,Occidental College,Computer Science,Games & interactive art
Joel Walsh,Assistant Professor,Occidental College,Computer Science,Natural language processing|Artificial intelligence|Machine learning
Meiqing Zhang,Assistant Professor,Occidental College,Computer Science,Natural language processing|Data science
Hsing-Hau Chen,Associate Professor,Occidental College,Computer Science,
Chris Cianci,Assistant Professor,Occidental College,Computer Science,Robotics
Treena Basu,Associate Professor,Occidental College,Mathematics or Statistics,
Mehwish Abbasi,Assistant Professor,Ohio Wesleyan University,Computer Science,Data science|Machine learning
Tzu-Yi Chen,Professor,Pomona College,Computer Science,High-performance computing|Algorithms & complexity|Computer science education|Computer architecture|Data science
Eleanor Birrell,Associate Professor,Pomona College,Computer Science,Computer security & privacy
Anthony Clark,Assistant Professor,Pomona College,Computer Science,Robotics
David R. Kauchak,Professor,Pomona College,Computer Science,Natural language processing
Jingyi Li,Assistant Professor,Pomona College,Computer Science,Human-computer interaction
Joseph C. Osborn,Associate Professor,Pomona College,Computer Science,Artificial intelligence|Games & interactive art|Human-computer interaction
Alexandra Papoutsaki,Associate Professor,Pomona College,Computer Science,Human-computer interaction
Sam Thomas,Assistant Professor,Pomona College,Computer Science,Computer architecture|Computer security & privacy
Andrew T. Wilson,Lecturer,Pomona College,Computer Science,
Yuqing Melanie Wu,Professor,Pomona College,Computer Science,Databases
Michael Zlatin,Assistant Professor,Pomona College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Gregory Goeckel,Professor,Presbyterian College,Computer Science,Programming languages
Olivia Nche,Assistant Professor,Presbyterian College,Computer Science,Human-computer interaction|Computer science education
Marc Ordower,Visiting Associate Professor,Randolph College,Mathematics or Statistics,
Brad Spendlove,Associate Professor,Randolph College,Computer Science,Artificial intelligence
Jia Wan,Associate Professor,Randolph College,Computer Science,
Rance Necaise,Associate Professor,Randolph-Macon College,Computer Science,
Maha Elouni,Assistant Professor,Randolph-Macon College,Computer Science,
Robin M. Givens,Associate Professor,Randolph-Macon College,Computer Science,
Samuel Henry,Assistant Professor,Randolph-Macon College,Computer Science,Natural language processing|Information retrieval
John W. McManus,Associate Professor,Randolph-Macon College,Computer Science,
La Toria H. Tookes,Senior Lecturer,Randolph-Macon College,Computer Science,
Greg Anderson,Assistant Professor,Reed College,Computer Science,Programming languages|Machine learning|Artificial intelligence|Logic & verification
Erica Blum,Assistant Professor,Reed College,Computer Science,Cryptography|Computer security & privacy
Jim Fix,Professor,Reed College,Computer Science,
Adam Groce,Associate Professor,Reed College,Computer Science,Cryptography
Harper Knittel,Assistant Professor,Reed College,Computer Science,Algorithms & complexity|Economics & computation
Charles McGuffey,Assistant Professor,Reed College,Computer Science,Computer architecture|Algorithms & complexity
Mark Cooper,Adjunct Assistant Professor,Rhodes College,Computer Science,Artificial intelligence|Data science
Jace King,Visiting Assistant Professor,Rhodes College,Computer Science,Games & interactive art|Computer science education
Phillip Kirlin,Associate Professor,Rhodes College,Computer Science,Natural language processing|Artificial intelligence|Machine learning
Sean Kugele,Assistant Professor,Rhodes College,Computer Science,Artificial intelligence
Brian Larkins,Associate Professor,Rhodes College,Computer Science,Programming languages|Distributed systems|High-performance computing|Computer architecture|Operating systems
Betsy Sanders,Professor,Rhodes College,Computer Science,Computer graphics
Addison Schwamb,Assistant Professor,Rhodes College,Computer Science,Machine learning|Computational bio & bioinformatics
Matt Superdock,Assistant Professor,Rhodes College,Computer Science,Logic & verification
Durell Bouchard,Associate Professor,Roanoke College,Computer Science,Computer vision|Human-computer interaction
Anil Shende,Professor,Roanoke College,Computer Science,Algorithms & complexity|Distributed systems|Computer networks
Wale Sekoni,Assistant Professor,Roanoke College,Computer Science,Algorithms & complexity
Rajesh Prasad,Associate Professor,Saint Anselm College,Computer Science,Computer networks|Distributed systems|Mobile computing
Adam Albina,Assistant Professor,Saint Anselm College,Computer Science,Databases|Software engineering
Michael Huelsman,Assistant Professor,Saint Anselm College,Computer Science,Artificial intelligence
Mitra Mohtarami,Assistant Professor,Saint Anselm College,Computer Science,
Bradford Demarest,Assistant Professor,Saint Michael's College,Computer Science,Natural language processing|Machine learning
Greta Pangborn,Associate Professor,Saint Michael's College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Nelson Dellis,Visiting Assistant Professor,Skidmore College,Computer Science,Logic & verification
Wenlu Du,Assistant Professor,Skidmore College,Computer Science,Artificial intelligence|Robotics|Machine learning|Natural language processing
Michael Eckmann,Associate Professor,Skidmore College,Computer Science,Computer vision|Computer graphics
Thomas O'Connell,Associate Professor,Skidmore College,Computer Science,Artificial intelligence|Machine learning|Algorithms & complexity
Aarathi Prasad,Associate Professor,Skidmore College,Computer Science,Mobile computing|Human-computer interaction|Computer security & privacy
David Read,Associate Teaching Professor,Skidmore College,Computer Science,Computer security & privacy|Computer science education
Christine Reilly,Associate Professor,Skidmore College,Computer Science,Distributed systems|Data science|Computer science education
Esma Wali,Visiting Assistant Professor,Skidmore College,Computer Science,Artificial intelligence|Natural language processing|Machine learning
Johanna Brewer,Assistant Professor,Smith College,Computer Science,Human-computer interaction|Mobile computing|Computer science education
Shinyoung Cho,Assistant Professor,Smith College,Computer Science,Computer networks|Computer security & privacy
R. Jordan Crouser,Associate Professor,Smith College,Computer Science,Visualization|Human-computer interaction
Pablo Frank Bolton,Lecturer,Smith College,Computer Science,Computer science education
Hia Ghosh,Lecturer,Smith College,Computer Science,Computer science education
Nicholas Howe,Professor,Smith College,Computer Science,Computer vision
Katherine M. Kinnaird,Associate Professor,Smith College,Computer Science,Information retrieval|Data science|Computer science education
Jamie Macbeth,Associate Professor,Smith College,Computer Science,Artificial intelligence|Natural language processing|Human-computer interaction
Ab Mosca,Visiting Assistant Professor,Smith College,Computer Science,Visualization|Human-computer interaction
Halie Rando,Assistant Professor,Smith College,Computer Science,Computational bio & bioinformatics
Michael Robson,Assistant Professor,Smith College,Computer Science,High-performance computing|Computer architecture|Programming languages
Ileana Streinu,Professor,Smith College,Computer Science,Algorithms & complexity|Robotics|Computational bio & bioinformatics
Ammon Hepworth,Assistant Professor,Southern Virginia University,Computer Science,Design automation
Barbara M. Anthony,Professor,Southwestern University,Computer Science,Algorithms & complexity
Arjun Chandrasekhar,Assistant Professor,Southwestern University,Computer Science,Distributed systems|Algorithms & complexity|Computational bio & bioinformatics
Jacob Schrum,Associate Professor,Southwestern University,Computer Science,Artificial intelligence|Programming languages|Natural language processing|Computer graphics
Kevin A. Angstadt,Associate Professor,St. Lawrence University,Computer Science,Computer architecture|Programming languages|Software engineering
Daniel Condon,Assistant Professor,St. Lawrence University,Mathematics or Statistics,
Gabriel Dorfsman-Hopkins,Assistant Professor,St. Lawrence University,Mathematics or Statistics,
A.J. Dykstra,Lecturer,St. Lawrence University,Mathematics or Statistics,
Ed Harcourt,Professor,St. Lawrence University,Computer Science,Design automation
Matt Higham,Associate Professor,St. Lawrence University,Mathematics or Statistics,
Choong-Soo Lee,Associate Professor,St. Lawrence University,Computer Science,Human-computer interaction|Information retrieval|Computer vision|Machine learning|Data science
Leiyue Li,Assistant Professor,St. Lawrence University,Mathematics or Statistics,
Patti Frazer Lock,Professor,St. Lawrence University,Mathematics or Statistics,
Robin Lock,Professor,St. Lawrence University,Mathematics or Statistics,
Lisa Torrey,Associate Professor,St. Lawrence University,Computer Science,Artificial intelligence|Machine learning
Maegan K. Bos,Associate Professor,St. Lawrence University,Mathematics or Statistics,
Michael Schuckers,Professor,St. Lawrence University,Mathematics or Statistics,
Emily Barranca,Assistant Professor,St. Mary's College of Maryland,Computer Science,
Sayan Goswami,Assistant Professor,St. Mary's College of Maryland,Computer Science,High-performance computing|Distributed systems|Data science|Computer science education|Algorithms & complexity
Simon Read,Associate Professor,St. Mary's College of Maryland,Computer Science,Logic & verification|Computer architecture
Waqar Saleem,Associate Professor,St. Mary's College of Maryland,Computer Science,Computer graphics|Computer science education|Algorithms & complexity|Programming languages
Muhieddine Shebaro,Visiting Assistant Professor,St. Mary's College of Maryland,Computer Science,Machine learning|Data science
Bob Tracy,Adjunct Instructor,St. Mary's College of Maryland,Computer Science,
Richard Young,Adjunct Professor,St. Mary's College of Maryland,Computer Science,
Seth Meyer,Professor,St. Norbert College,Mathematics or Statistics,
Jaime Davila,Associate Professor,St. Olaf College,Computer Science,Computational bio & bioinformatics
Olaf Hall-Holt,Associate Professor,St. Olaf College,Computer Science,Computer graphics|Computer vision|Algorithms & complexity
Michael Haydock,Adjunct Assistant Professor,St. Olaf College,Computer Science,Algorithms & complexity
Kodjo Houssou,Visiting Instructor,St. Olaf College,Computer Science,
Barbara Johnson,Visiting Assistant Professor,St. Olaf College,Computer Science,
Will Leeson,Assistant Professor,St. Olaf College,Computer Science,Software engineering
Melissa Lynn,Assistant Professor,St. Olaf College,Computer Science,
Ryota Matsuura,Professor,St. Olaf College,Mathematics or Statistics,
Matthew Wright,Associate Professor,St. Olaf College,Mathematics or Statistics,
Sharmishtha Dutta,Assistant Professor,Stonehill College,Computer Science,Machine learning|Natural language processing
Hamza M. Elhamdadi,Assistant Professor,Stonehill College,Computer Science,Visualization|Human-computer interaction
Samuel Goree,Assistant Professor,Stonehill College,Computer Science,Human-computer interaction|Machine learning
Jeffrey Graham,Associate Professor,Susquehanna University,Mathematics or Statistics,
Alathea Jensen,Associate Professor,Susquehanna University,Mathematics or Statistics,
Edisanter Lo,Professor,Susquehanna University,Mathematics or Statistics,
Steven Scheirer,Assistant Professor,Susquehanna University,Computer Science,
Anusha Veluswamy,Assistant Professor,Susquehanna University,Computer Science,
Alexander Wilce,Professor,Susquehanna University,Mathematics or Statistics,
Kevin Webb,Associate Professor,Swarthmore College,Computer Science,Computer networks|Distributed systems|Computer science education
Joshua Brody,Associate Professor,Swarthmore College,Computer Science,Algorithms & complexity
Vasanta Chaganti,Associate Professor,Swarthmore College,Computer Science,Computer networks|Measurement & performance analysis|Computer security & privacy
Andrew Danner,Professor,Swarthmore College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Lila Fontes,Associate Professor,Swarthmore College,Computer Science,Algorithms & complexity|Information retrieval|Computer security & privacy
Nathaniel Grammel,Visiting Assistant Professor,Swarthmore College,Computer Science,Algorithms & complexity
Gabriel Hope,Visiting Assistant Professor,Swarthmore College,Computer Science,Machine learning
Neil Lutz,Visiting Assistant Professor,Swarthmore College,Computer Science,Algorithms & complexity
Ben Mitchell,Assistant Professor,Swarthmore College,Computer Science,Artificial intelligence|Machine learning
Tia Newhall,Professor,Swarthmore College,Computer Science,Distributed systems|Computer science education|Computer architecture
Keith O'Hara,Associate Professor,Swarthmore College,Computer Science,Robotics|Computer science education
Zachary Palmer,Associate Professor,Swarthmore College,Computer Science,Programming languages
Ameet Soni,Associate Professor,Swarthmore College,Computer Science,Machine learning|Computational bio & bioinformatics
Sukrit Venkatagiri,Assistant Professor,Swarthmore College,Computer Science,Human-computer interaction
Ranysha Ware,Assistant Professor,Swarthmore College,Computer Science,Computer networks|Measurement & performance analysis
Rich Wicentowski,Professor,Swarthmore College,Computer Science,Natural language processing
Charlie Kazer,Lab Instructor,Swarthmore College,Computer Science,Computer networks|Measurement & performance analysis
Marcus Brumfield,Assistant Professor,Tougaloo College,Computer Science,
Bobby England,Professor,Transylvania University,Computer Science,Operating systems|Computer science education|Computer graphics
Kenny Moorman,Professor,Transylvania University,Computer Science,Artificial intelligence|Robotics
Ewa Syta,Associate Professor,Trinity College,Computer Science,Computer security & privacy|Cryptography|Distributed systems|Computer architecture|Information retrieval
Chandranil Chakraborttii,Assistant Professor,Trinity College,Computer Science,Machine learning|Computer architecture
Maminur Islam,Assistant Professor,Trinity College,Computer Science,Artificial intelligence|Machine learning|Computer vision
Jonathan Johnson,Visiting Lecturer,Trinity College,Computer Science,Software engineering|Computer architecture
Takunari Miyazaki,Associate Professor,Trinity College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics|Programming languages
Madalene Spezialetti,Associate Professor,Trinity College,Computer Science,Distributed systems
Peter A. Yoon,Professor,Trinity College,Computer Science,High-performance computing
Paul Myers,Professor,Trinity University,Computer Science,Computer security & privacy|Robotics|Computer science education
Zeyu Chen,Visiting Assistant Professor,Trinity University,Computer Science,Natural language processing|Machine learning|Computer vision
Eduardo Davalos Anaya,Assistant Professor,Trinity University,Computer Science,Artificial intelligence|Human-computer interaction|Natural language processing
Seth Fogarty,Associate Professor,Trinity University,Computer Science,Logic & verification|Algorithms & complexity|Programming languages
Matthew Hibbs,Associate Professor,Trinity University,Computer Science,Computational bio & bioinformatics|Visualization
Britton Horn,Assistant Professor,Trinity University,Computer Science,Artificial intelligence|Programming languages|Games & interactive art
Johanna Jacob,Assistant Professor,Trinity University,Computer Science,Computer science education|Computer security & privacy
