name,title,college,google_scholar
Luis David Garcia Puente,Professor,Colorado College,https://scholar.google.com/citations?user=T3JESvAAAAAJ&hl=en
Blake Jackson,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=TxCFgkwAAAAJ&hl=en
Minho Kim,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=H1BMC3kAAAAJ&hl=ko
Varsha Koushik,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=bnSvx1UAAAAJ&hl=en
Beth Malmskog,Associate Professor,Colorado College,https://scholar.google.com/citations?user=aHnRzEcAAAAJ&hl=en
Jane McDougall,Associate Professor,Colorado College,https://scholar.google.com/citations?user=iPga1l4AAAAJ&hl=en
Molly Moran,Associate Professor,Colorado College,https://scholar.google.com/citations?user=AyYB4aMAAAAJ&hl=en
Ben Nye,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=8MKfjycAAAAJ&hl=en
Eddie Price,Visiting Assistant Professor,Colorado College,https://scholar.google.com/citations?hl=en&user=79gmWF8AAAAJ
Flavia Sancier-Barbosa,Associate Professor,Colorado College,https://scholar.google.com/citations?user=oQFnhDIAAAAJ&hl=en
Cory B Scott,Assistant Professor,Colorado College,https://scholar.google.com/citations?user=Q82UIV8AAAAJ&hl=en
Mike Siddoway,Professor,Colorado College,https://scholar.google.com/citations?user=tkrqR1UAAAAJ&hl=en
Ahmed Kamel,Professor,Concordia College,https://scholar.google.com/citations?hl=en&user=DKWUx5oAAAAJ
Damian Lampl,Assistant Professor,Concordia College,https://scholar.google.com/citations?user=CRhDUdoAAAAJ&hl=en
Gregory Tanner,Associate Professor,Concordia College,https://scholar.google.com/citations?hl=en&user=6cFv0t0AAAAJ
Christine Chung,Professor,Connecticut College,https://scholar.google.com/citations?hl=en&user=gIbbPOUAAAAJ
S. James Lee,Associate Professor,Connecticut College,https://scholar.google.com/citations?hl=en&user=DoZA7VkAAAAJ
Timothy Becker,Assistant Professor,Connecticut College,https://scholar.google.com/citations?user=6hv4-c4AAAAJ&hl=en
Stephen Douglass,Associate Professor,Connecticut College,https://scholar.google.com/citations?user=E7eGq_8AAAAJ&hl=en
Ozgur Izmirli,Professor,Connecticut College,https://scholar.google.com/citations?hl=en&user=oFj5AYoAAAAJ
