Name,City,State,ROR,Major,Minor/Concentration,Program Link,Faculty Link,Schedule Link
Furman University,Greenville,SC,04ytb9n23,1.0,1.0,https://www.furman.edu/academics/computer-science/,https://www.furman.edu/academics/computer-science/faculty/,
Gettysburg College,Gettysburg,PA,045e26x92,1.0,1.0,https://www.gettysburg.edu/academic-programs/computer-science/,https://www.gettysburg.edu/academic-programs/computer-science/faculty/,https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gordon College,Wenham,MA,0364wpq06,1.0,1.0,https://www.gordon.edu/academics/computerscience,https://www.math-cs.gordon.edu/faculty.html,https://www.gordon.edu/course_schedules
Goucher College,Baltimore,MD,055ag3e81,1.0,1.0,https://www.goucher.edu/learn/undergraduate-programs/computer-science/,https://www.goucher.edu/learn/undergraduate-programs/computer-science/,https://hercules.goucher.edu/SelfService/Search/Section?&department=CS
Grinnell College,Grinnell,IA,04tmmky42,1.0,0.0,https://www.grinnell.edu/academics/majors-concentrations/computer-science,https://www.grinnell.edu/profiles/computer-science/faculty,https://colss-prod.ec.grinnell.edu/Student/Courses/Search?subjects=CSC
Gustavus Adolphus College,St. Peter,MN,007q4yk54,1.0,1.0,https://gustavus.edu/academics/undergraduate/computer-science/,https://gustavus.edu/academics/departments/mathematics-computer-science-and-statistics/faculty/,https://colselfsrvprod.gac.edu/Student/Courses/Search?subjects=MCS
Hamilton College,Clinton,NY,05709zb94,1.0,1.0,https://www.hamilton.edu/academics/departments/Computer-Science,https://www.hamilton.edu/academics/departments/Faculty?dept=Computer%20Science,
Hampden-Sydney College,Hampden-Sydney,VA,02mb9s657,1.0,1.0,https://www.hsc.edu/academics/mathematics-and-computer-science,https://www.hsc.edu/academics/mathematics-and-computer-science/math-and-cs-professors,https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hanover College,Hanover,IN,00vc14296,1.0,1.0,https://www.hanover.edu/academics/programs/cs/,https://www.hanover.edu/academics/programs/cs/#faculty,https://my.hanover.edu/ICS/Resources/Class__Faculty_Schedules/
Hartwick College,Oneonta,NY,0288qta63,1.0,1.0,https://www.hartwick.edu/academics/academic-departments/computer-and-information-sciences-department/,https://www.hartwick.edu/academics/computer-science,https://selfservice.hartwick.edu/Student/Courses/Search?subjects=CISC
Harvey Mudd College,Claremont,CA,025ecfn45,1.0,1.0,https://www.hmc.edu/cs/,https://www.hmc.edu/cs/faculty-staff/,https://hyperschedule.io/
Haverford College,Haverford,PA,04fnrxr62,1.0,1.0,https://www.haverford.edu/academics/computer-science-major-minor-and-concentration,https://www.haverford.edu/computer-science/faculty-staff,https://www.haverford.edu/academics/results?semester%5B0%5D=spring_2026&department%5B0%5D=Computer%20Science&college%5B0%5D=haverford&page=1&per_page=200
Hendrix College,Conway,AR,00yghrj63,1.0,1.0,https://www.hendrix.edu/mathcs/computerscience/,https://www.hendrix.edu/mathcs/faculty/,https://campusweb.hendrix.edu/ICS/Academics/Course_Search.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Hobart and William Smith College,Geneva,NY,004majf41,1.0,1.0,https://www.hws.edu/academics/computer-science/default.aspx,https://www.hws.edu/academics/computer-science/faculty-directory.aspx,https://www.hws.edu/images/offices/registrar/docs/FallSchedule.pdf
"Holy Cross College at Notre Dame, Indiana",Notre Dame,IN,0574bwf68,1.0,1.0,https://www.hcc-nd.edu/computer-science/,https://www.hcc-nd.edu/departments/#1699641558100-44c45a6b-33c4,https://www.sis.hcc-nd.edu/fusebox.cfm?fuseaction=CourseCatalog&rpt=1
Hope College,Holland,MI,03chnr738,1.0,1.0,https://hope.edu/academics/computer-science/,https://hope.edu/academics/computer-science/faculty-staff.html,https://schedule.hope.edu/?term=202601&subj=CSCI
Houghton University,Houghton,NY,04vjs1b18,1.0,0.0,https://www.houghton.edu/math-science/computer-science-major/,https://www.houghton.edu/math-science/,https://www.houghton.edu/current-students/registrar/houghton-ny-undergraduate-students/course-offerings/
Illinois College,Jacksonville,IL,02ys5x139,1.0,1.0,https://www.ic.edu/computer-science,https://www.ic.edu/computer-science/directory,https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,Charlotte,NC,00s3z8519,1.0,0.0,https://www.jcsu.edu/academics/undergraduate-program/computer-scienceinformation-systems,,https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Juniata College,Huntingdon,PA,01ayg2409,1.0,0.0,https://www.juniata.edu/academics/computer-science/,https://www.juniata.edu/academics/computer-science/computer-science-faculty.php,https://selfservice.juniata.edu/Student/Courses/Search?subjects=CS
Kalamazoo College,Kalamazoo,MI,001qst305,1.0,1.0,https://computerscience.kzoo.edu/,https://computerscience.kzoo.edu/facultystaff/,https://hornethq.kzoo.edu/Student/Courses/Search?subjects=COMP
Knox College,Galesburg,IL,04hfkdb50,1.0,1.0,https://www.knox.edu/academics/majors-and-minors/computer-science,https://www.knox.edu/academics/majors-and-minors/computer-science/faculty,https://www.knox.edu/documents/Registrar/CourseSchedules/coursescheduleSP25.pdf
Lafayette College,Easton,PA,036n0x007,1.0,1.0,https://compsci.lafayette.edu/,https://compsci.lafayette.edu/faculty/,https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Lake Forest College,Lake Forest,IL,04rmtzr09,1.0,1.0,https://www.lakeforest.edu/academics/majors-and-minors/mathematics-and-computer-science,https://www.lakeforest.edu/academics/majors-and-minors/mathematics-and-computer-science/faculty,
Lane College,Jackson,TN,00e7vgg86,1.0,1.0,https://www.lanecollege.edu/academics/departments/natural-and-physical-science/computer-science,https://www.lanecollege.edu/directory,
Lawrence University,Appleton,WI,005w9jb47,1.0,1.0,https://www.lawrence.edu/academics/college/computer-science,https://www.lawrence.edu/academics/college/computer-science/faculty,https://bannerweb.lawrence.edu/prod-StudentRegistrationSsb/ssb/term/termSelection?mode=search
Lewis & Clark College,Portland,OR,013pz1582,1.0,1.0,https://college.lclark.edu/departments/mathematical_sciences/computer-science/,https://college.lclark.edu/departments/mathematical_sciences/faculty/,
Linfield University,McMinnville,OR,0228k1a18,1.0,1.0,https://www.linfield.edu/programs/computer-science/index.html,https://www.linfield.edu/math/faculty.html,https://selfservice.linfield.edu/Student/Courses/Search?subjects=COMP
Luther College,Decorah,IA,03dqcb840,1.0,1.0,https://www.luther.edu/academics/computer-science,https://www.luther.edu/academics/computer-science/faculty-staff,https://norsehub.luther.edu/Student/Courses/Search?subjects=CS
Lycoming College,Williamsport,PA,01rsgws32,1.0,1.0,https://www.lycoming.edu/computer-science/,https://www.lycoming.edu/computer-science/faculty.aspx,https://collslfsrv-live.lycoming.edu/Student/Courses/Search?subjects=CPTR
Lyon College,Batesville,AR,03c4kec23,1.0,1.0,https://www.lyon.edu/computer-science,https://www.lyon.edu/math-science-faculty,https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Macalester College,St. Paul,MN,04fceqm38,1.0,1.0,https://www.macalester.edu/mscs/,https://www.macalester.edu/mscs/facultystaff/,https://www.macalester.edu/mscs/schedules/computer_science/
Maryville College,Maryville,TN,04e602778,1.0,1.0,https://www.maryvillecollege.edu/academics/programs-of-study/computer-science/,https://www.maryvillecollege.edu/academics/programs-of-study/computer-science/,https://www.maryvillecollege.edu/academics/registrar/course-schedules/
Medgar Evers College--CUNY,Brooklyn,NY,03we2aj97,1.0,1.0,https://www.mec.cuny.edu/academic-affairs/physics-and-computer-science/,https://mec.catalog.cuny.edu/departments/PCS-MEC/faculty,
Meredith College,Raleigh,NC,02g0yj703,1.0,1.0,https://www.meredith.edu/computer-science/,https://www.meredith.edu/computer-science/computer-science-faculty-staff/,https://mcis.meredith.edu/Student/Courses/Search?subjects=CS
Middlebury College,Middlebury,VT,0217hb928,1.0,1.0,https://www.middlebury.edu/college/academics/computer-science,https://www.middlebury.edu/college/academics/computer-science/faculty-and-staff,https://catalog.middlebury.edu/offerings/search/catalog-MCUG
