name,title,college,verified_affiliation,scholar_match_status,scholar_citedby,scholar_citedby5y,scholar_hindex,scholar_hindex5y,scholar_i10index,scholar_i10index5y,scholar_interests,scholar_cites_per_year
Sven Anderson,Associate Professor,Bard College,Bard College,matched,669.0,121.0,11.0,5.0,12.0,2.0,,"{'1989': 5, '1990': 5, '1991': 9, '1992': 35, '1993': 9, '1994': 10, '1995': 9, '1996': 9, '1997': 3, '1998': 4, '1999': 14, '2000': 12, '2001': 10, '2002': 6, '2003': 10, '2004': 15, '2005': 18, '2006': 20, '2007': 25, '2008': 35, '2009': 23, '2010': 16, '2011': 19, '2012': 24, '2013': 24, '2014': 25, '2015': 27, '2016': 36, '2017': 28, '2018': 20, '2019': 13, '2020': 15, '2021': 28, '2022': 26, '2023': 24, '2024': 15, '2025': 17, '2026': 11}"
Jordan Ayala,Assistant Professor,Bard College,Bard College,matched,3.0,3.0,1.0,1.0,0.0,0.0,Spatial Data Science; Human Geography; Political Economy,"{'2025': 1, '2026': 1}"
Valerie Barr,Professor,Bard College,Bard College,matched,4318.0,2385.0,17.0,12.0,24.0,15.0,CS Education; Diversity & Inclusion,"{'2001': 14, '2002': 8, '2003': 19, '2004': 21, '2005': 13, '2006': 7, '2007': 12, '2008': 14, '2009': 10, '2010': 11, '2011': 16, '2012': 39, '2013': 47, '2014': 89, '2015': 105, '2016': 159, '2017': 242, '2018': 310, '2019': 368, '2020': 344, '2021': 422, '2022': 433, '2023': 468, '2024': 456, '2025': 471, '2026': 134}"
Emma Benser,Assistant Professor,Bard College,"Assistant Professor of Computer Science,Bard College",matched,121.0,121.0,7.0,7.0,7.0,7.0,Computing education; higher education in prison,"{'2022': 2, '2023': 6, '2024': 26, '2025': 55, '2026': 32}"
Theresa Law,Assistant Professor,Bard College,Bard College,matched,704.0,699.0,9.0,9.0,9.0,9.0,Human-robot interaction; Trust,"{'2020': 4, '2021': 38, '2022': 78, '2023': 131, '2024': 173, '2025': 193, '2026': 78}"
Bob McGrail,Associate Professor,Bard College,Bard College,manual_approved,176.0,42.0,5.0,3.0,3.0,1.0,Theoretical computer science; logic; algebra,"{'2001': 4, '2002': 1, '2003': 2, '2004': 10, '2005': 5, '2006': 3, '2007': 2, '2008': 9, '2009': 6, '2010': 10, '2011': 10, '2012': 16, '2013': 6, '2014': 9, '2015': 10, '2016': 6, '2017': 9, '2018': 8, '2019': 6, '2020': 11, '2021': 6, '2022': 9, '2023': 5, '2024': 9, '2025': 2}"
Annabel Rothschild,Assistant Professor,Bard College,Bard College,matched,185.0,180.0,7.0,7.0,6.0,6.0,,"{'2019': 2, '2020': 2, '2021': 4, '2022': 8, '2023': 19, '2024': 39, '2025': 68, '2026': 41}"
Rebecca Wright,Professor,Barnard College,Barnard College,matched,6193.0,1449.0,37.0,17.0,67.0,30.0,cybersecurity; privacy; distributed computing,"{'1996': 30, '1997': 22, '1998': 38, '1999': 62, '2000': 67, '2001': 69, '2002': 76, '2003': 94, '2004': 113, '2005': 143, '2006': 188, '2007': 247, '2008': 287, '2009': 280, '2010': 285, '2011': 250, '2012': 240, '2013': 290, '2014': 266, '2015': 246, '2016': 237, '2017': 223, '2018': 270, '2019': 298, '2020': 320, '2021': 367, '2022': 266, '2023': 283, '2024': 261, '2025': 227, '2026': 45}"
Smaranda Muresan,Associate Professor,Barnard College,"Barnard College,Columbia University",matched,6326.0,4230.0,41.0,34.0,83.0,67.0,Natural Language Processing,"{'2002': 26, '2003': 18, '2004': 25, '2005': 34, '2006': 22, '2007': 46, '2008': 50, '2009': 52, '2010': 58, '2011': 54, '2012': 81, '2013': 94, '2014': 107, '2015': 120, '2016': 167, '2017': 199, '2018': 256, '2019': 254, '2020': 364, '2021': 465, '2022': 616, '2023': 673, '2024': 940, '2025': 1172, '2026': 358}"
Ahmer Arif,Assistant Professor,Barnard College,"Department of Computer Science, Barnard College",matched,1938.0,1448.0,11.0,11.0,13.0,13.0,Human Computer Interaction; Computer Supported Cooperative Work; Crisis Informatics; Misinformation,"{'2014': 6, '2015': 10, '2016': 11, '2017': 32, '2018': 72, '2019': 124, '2020': 211, '2021': 238, '2022': 269, '2023': 255, '2024': 239, '2025': 351, '2026': 95}"
