name,title,college,verified_affiliation,scholar_match_status,scholar_citedby,scholar_citedby5y,scholar_hindex,scholar_hindex5y,scholar_i10index,scholar_i10index5y,scholar_interests,scholar_cites_per_year
Amin Alhashim,Visiting Assistant Professor,Macalester College,Macalester College,matched,154.0,135.0,7.0,7.0,6.0,4.0,Computer Science Education; Usability Engineering; Teaching as Research,"{'2012': 4, '2013': 3, '2014': 1, '2015': 1, '2016': 1, '2017': 2, '2018': 5, '2019': 6, '2020': 21, '2021': 28, '2022': 30, '2023': 34, '2024': 16}"
Suhas Arehalli,Assistant Professor,Macalester College,Macalester College,matched,320.0,318.0,8.0,8.0,7.0,7.0,psycholinguistics; computational linguistics; cognitive modeling,"{'2021': 5, '2022': 9, '2023': 66, '2024': 75, '2025': 108, '2026': 53}"
Paul Cantrell,Senior Instructor,Macalester College,"Assistant Professor of Psychology,Macalester College",matched_college,,,,,,,intersectionality; stereotyping; sexuality; gender; self-objectification,
Dan Drake,Visiting Assistant Professor,Macalester College,"Assistant Professor,KAIST",matched_name,,,,,,,enumerative combinatorics,
Lian Duan,Instructor,Macalester College,"Professor of Mechanical & Aerospace Engineering, TheOhio State University",matched_name,,,,,,,Computational fluid dynamics; turbulence simulation and modeling; high-speed aerodynamics,
Elizabeth Ernst,Assistant Professor,Macalester College,"Professor of American Studies,Macalester College",matched_college,,,,,,,20th and 21st century African American political/legal history,
Susan Fox,Professor,Macalester College,"President,Macalester College",matched_college,,,,,,,Research Ethics; Science Policy,
Bret Jackson,Associate Professor,Macalester College,Macalester College,matched,619.0,294.0,14.0,10.0,15.0,11.0,Interactive visualization; multi-touch,"{'2011': 9, '2012': 9, '2013': 16, '2014': 23, '2015': 16, '2016': 33, '2017': 40, '2018': 48, '2019': 67, '2020': 52, '2021': 64, '2022': 50, '2023': 64, '2024': 57, '2025': 44, '2026': 15}"
Abby Marsh,Associate Professor,Macalester College,"Assistant Professor of Computer Science,Macalester College",matched_college,,,,,,,Usable Privacy,
Lauren Milne,Associate Professor,Macalester College,Macalester College,matched,896.0,563.0,14.0,13.0,16.0,14.0,accessibility; human computer interaction,"{'2014': 6, '2015': 17, '2016': 31, '2017': 43, '2018': 55, '2019': 84, '2020': 85, '2021': 100, '2022': 115, '2023': 83, '2024': 117, '2025': 112, '2026': 36}"
Daniel O'Loughlin,Visiting Assistant Professor,Macalester College,"Professor of Mathematics, Statistics, and Computer Science,Macalester College",matched_college,,,,,,,nonlinear dynamics; statistics; physiology,
Getiria Onsongo,Associate Professor,Macalester College,"Assistant Professor of Computer Science,Macalester College",matched,1260.0,378.0,16.0,11.0,19.0,11.0,Bioinformatics; Agroinformatics; Databases; Big Data Analytics,"{'2006': 6, '2007': 1, '2008': 9, '2009': 15, '2010': 32, '2011': 58, '2012': 69, '2013': 78, '2014': 52, '2015': 97, '2016': 93, '2017': 79, '2018': 78, '2019': 102, '2020': 93, '2021': 84, '2022': 86, '2023': 78, '2024': 60, '2025': 58, '2026': 12}"
Joslenne Peña,Assistant Professor,Macalester College,"Assistant Professor of Computer Science,Macalester College",matched,106.0,56.0,5.0,5.0,3.0,3.0,human-computer interaction; computer science education,"{'2015': 6, '2016': 5, '2017': 8, '2018': 10, '2019': 8, '2020': 11, '2021': 6, '2022': 12, '2023': 14, '2024': 9, '2025': 12, '2026': 3}"
Elizabeth Shoop,Professor,Macalester College,Macalester College,matched_college,,,,,,,,
Barbara Johnson,Associate Professor,Maryville College,Unknown affiliation,matched_name,,,,,,,,
Jennifer Hontz,Professor,Meredith College,"Assistant Professor,Meredith College",matched_college,,,,,,,,
Kristin Watkins,Professor of Practice,Meredith College,Research Services Professional,matched_name,,,,,,,History of medicine & public health; pandemic disease; intersection of arts and medicine,
Mark Gass,Assistant Professor of Practice,Meredith College,,no_match,,,,,,,,
Christopher Andrews,Associate Professor,Middlebury College,"Associate Professor,Middlebury College",matched,2067.0,641.0,17.0,12.0,21.0,14.0,Visual Analytics; Information Visualization; Large Displays; Generative Art; HCI,"{'2009': 8, '2010': 24, '2011': 57, '2012': 112, '2013': 110, '2014': 158, '2015': 167, '2016': 142, '2017': 161, '2018': 145, '2019': 157, '2020': 164, '2021': 121, '2022': 125, '2023': 132, '2024': 109, '2025': 116, '2026': 38}"
Laura Biester,Assistant Professor,Middlebury College,Middlebury College,matched,217.0,213.0,8.0,8.0,6.0,6.0,Natural Language Processing; Computational Social Science,"{'2020': 4, '2021': 13, '2022': 15, '2023': 29, '2024': 44, '2025': 85, '2026': 27}"
Amy Briggs,Professor,Middlebury College,Middlebury College,matched_college,,,,,,,Economic History,
Philip Caplan,Assistant Professor,Middlebury College,Middlebury College,matched,378.0,279.0,8.0,7.0,8.0,7.0,Mesh Generation; Scientific Visualization; Computational Geometry; Computational Fluid Dynamics,"{'2014': 1, '2015': 5, '2016': 1, '2017': 2, '2018': 11, '2019': 23, '2020': 54, '2021': 56, '2022': 68, '2023': 37, '2024': 52, '2025': 52, '2026': 14}"
Phil Chodrow,Assistant Professor,Middlebury College,"Assistant Professor of Computer Science,Middlebury College",matched,912.0,835.0,10.0,10.0,10.0,10.0,network science; nonlinear dynamics; statistical inference; math modeling; data science,"{'2017': 3, '2018': 12, '2019': 18, '2020': 40, '2021': 73, '2022': 124, '2023': 148, '2024': 174, '2025': 228, '2026': 86}"
Ananya Das,Associate Professor,Middlebury College,"Associate Professor of Computer Science,Middlebury College",matched,168.0,47.0,8.0,5.0,7.0,0.0,algorithms; combinatorial optimization; graphs; networks; stochastic models,"{'2008': 3, '2009': 2, '2010': 4, '2011': 7, '2012': 10, '2013': 13, '2014': 14, '2015': 10, '2016': 4, '2017': 10, '2018': 9, '2019': 10, '2020': 24, '2021': 9, '2022': 3, '2023': 7, '2024': 19, '2025': 8, '2026': 1}"
Matthew Dickerson,Professor,Middlebury College,"Sr. Materials Research Engineer,Air Force Research Laboratory",matched_name,,,,,,,Preceramic Polymers; Hybrid Materials; Ceramics; Self-assembly; Ceramic Matrix Composites,
Smith Gakuya,Visiting Lab Instructor,Middlebury College,Middlebury College,matched_college,,,,,,,Physical Chemistry,
Peter Johnson,Associate Professor,Middlebury College,Apollo Quantum,matched_name,,,,,,,Quantum computing; quantum algorithms; open quantum systems,
Shelby Kimmel,Associate Professor,Middlebury College,Middlebury College,matched,1479.0,1065.0,16.0,14.0,21.0,17.0,Quantum Algorithms; Quantum Tomography,"{'2011': 4, '2012': 4, '2013': 5, '2014': 11, '2015': 24, '2016': 50, '2017': 43, '2018': 45, '2019': 94, '2020': 120, '2021': 172, '2022': 150, '2023': 212, '2024': 199, '2025': 247, '2026': 83}"
Michael Linderman,Associate Professor,Middlebury College,"Associate Professor of Computer Science,Middlebury College",matched,5268.0,1419.0,29.0,19.0,40.0,26.0,Computer Systems; Medical Genomics; Genomics Education,"{'2008': 35, '2009': 79, '2010': 74, '2011': 138, '2012': 180, '2013': 228, '2014': 299, '2015': 333, '2016': 479, '2017': 577, '2018': 492, '2019': 472, '2020': 382, '2021': 382, '2022': 288, '2023': 270, '2024': 195, '2025': 223, '2026': 60}"
Frank Swenton,Professor,Middlebury College,"Assistant Professor, Biology & Environmental Studies,Middlebury College",matched_college,,,,,,,Conservation Biology; Paleoecology; Mammals; Islands; Community Engagement,
Andrea Vaccari,Associate Professor,Middlebury College,Department of Computer Science -Middlebury College,matched,2362.0,1608.0,15.0,9.0,17.0,9.0,Image Processing; Remote Sensing and Biomedical Imaging; Embedded Control Systems; Photonics; Education,"{'2000': 10, '2001': 9, '2002': 40, '2003': 33, '2004': 38, '2005': 20, '2006': 25, '2007': 15, '2008': 16, '2009': 14, '2010': 10, '2011': 6, '2012': 10, '2013': 5, '2014': 1, '2015': 22, '2016': 10, '2017': 24, '2018': 53, '2019': 159, '2020': 218, '2021': 245, '2022': 267, '2023': 273, '2024': 300, '2025': 385, '2026': 138}"
Robert Utterback,Adjunct Professor,Monmouth College,Monmouth College,matched,152.0,81.0,5.0,5.0,5.0,2.0,Parallel Computing; NLP,"{'2015': 1, '2016': 3, '2017': 10, '2018': 17, '2019': 23, '2020': 17, '2021': 23, '2022': 21, '2023': 17, '2024': 13, '2025': 6, '2026': 1}"
Logan Mayfield,Professor,Monmouth College,"Associate Professor of Computer Science, Monmouth College",matched,3.0,0.0,1.0,0.0,0.0,0.0,Quantum Computation,"{'2007': 1, '2008': 2}"
Lisa A. Ballesteros,Associate Professor,Mount Holyoke College,Professor of SpanishMount Holyoke College,matched_college,,,,,,,Early Modern Spanish Cultures,
Alyxander Burns,Assistant Professor,Mount Holyoke College,"Assistant Professor of Computer Science,Mount Holyoke College",matched,265.0,261.0,5.0,5.0,4.0,4.0,data visualization; human-computer interaction,"{'2018': 1, '2019': 1, '2020': 1, '2021': 8, '2022': 24, '2023': 37, '2024': 78, '2025': 89, '2026': 24}"
Barbara Staudt Lerner,Professor,Mount Holyoke College,Mount Holyoke College,matched,1594.0,118.0,18.0,6.0,27.0,4.0,Scientific data provenance; accessibility for the blind,"{'1991': 6, '1992': 13, '1993': 16, '1994': 17, '1995': 25, '1996': 19, '1997': 28, '1998': 23, '1999': 44, '2000': 70, '2001': 48, '2002': 85, '2003': 71, '2004': 63, '2005': 63, '2006': 73, '2007': 70, '2008': 58, '2009': 66, '2010': 67, '2011': 82, '2012': 80, '2013': 53, '2014': 62, '2015': 56, '2016': 51, '2017': 41, '2018': 44, '2019': 35, '2020': 27, '2021': 24, '2022': 31, '2023': 22, '2024': 13, '2025': 22, '2026': 6}"
Tony Liu,Assistant Professor,Mount Holyoke College,"Assistant Professor of Computer Science,Mount Holyoke College",matched,653.0,647.0,12.0,12.0,12.0,12.0,Causal Inference; Interpretability; Machine Learning; Mental Health,"{'2020': 3, '2021': 10, '2022': 60, '2023': 90, '2024': 162, '2025': 237, '2026': 85}"
James McCauley,Assistant Professor,Mount Holyoke College,"Assistant Professor,Saint Mary's College of California",matched_name,,,,,,,Autism Spectrum Disorder; Family Processes; Development,
Heather Pon-Barry,Associate Professor,Mount Holyoke College,"Associate Professor of Computer Science,Mount Holyoke College",matched,1732.0,788.0,23.0,14.0,36.0,16.0,Spoken Dialogue; Human-Robot Interaction; Natural Language Processing,"{'2003': 6, '2004': 22, '2005': 20, '2006': 42, '2007': 39, '2008': 52, '2009': 47, '2010': 42, '2011': 40, '2012': 40, '2013': 80, '2014': 53, '2015': 54, '2016': 42, '2017': 63, '2018': 83, '2019': 102, '2020': 99, '2021': 122, '2022': 139, '2023': 176, '2024': 133, '2025': 171, '2026': 47}"
Audrey St. John,Professor,Mount Holyoke College,"Professor of Politics and International Relations,Mount Holyoke College",matched_college,,,,,,,Civil-Military Relations; Transitional Justice; Political Violence; Conflict Resolution,
Melody Su,Assistant Professor,Mount Holyoke College,"Mount Holyoke College, University of Washington",matched,739.0,639.0,13.0,12.0,16.0,15.0,surgical robotics; robotics; computer vision; AI; haptics,"{'2018': 2, '2019': 32, '2020': 65, '2021': 84, '2022': 115, '2023': 112, '2024': 141, '2025': 142, '2026': 45}"
Diane Uwacu,Assistant Professor,Mount Holyoke College,"Professor of Computer Science,Mount Holyoke College",matched,113.0,90.0,5.0,4.0,3.0,2.0,motion and path planning; robotics; computational biology,"{'2015': 2, '2016': 6, '2017': 4, '2018': 5, '2019': 6, '2020': 6, '2021': 12, '2022': 19, '2023': 17, '2024': 21, '2025': 15}"
Michael Allocca,Associate Professor,Muhlenberg College,Muhlenberg College,matched_college,,,,,,,Biochemistry; enzymology; metabolic pathways,
Abbey D'Ovidio,Assistant Professor,Muhlenberg College,"Assistant Professor of Media and Communication,Muhlenberg College",matched_college,,,,,,,,
Allison Davidson,Associate Professor,Muhlenberg College,,no_match,,,,,,,,
William Gryc,Professor,Muhlenberg College,Muhlenberg College,matched_college,,,,,,,Biochemistry; enzymology; metabolic pathways,
Youngsun Jang,Assistant Professor,Muhlenberg College,South Dakota State University,matched_name,,,,,,,Computer Science; Innovation Studies,
Michael Karcher,Assistant Professor,Muhlenberg College,Muhlenberg College,matched,721.0,503.0,7.0,7.0,7.0,7.0,Statistics; Phylodynamics; Population Genetics; Astronomy,"{'2015': 2, '2016': 3, '2017': 21, '2018': 39, '2019': 64, '2020': 83, '2021': 72, '2022': 88, '2023': 79, '2024': 97, '2025': 129, '2026': 37}"
Linda McGuire,Professor,Muhlenberg College,"Assistant Professor of Media and Communication,Muhlenberg College",matched_college,,,,,,,,
Proyash Podder,Assistant Professor,Muhlenberg College,"Assistant Professor of Computer Science,Muhlenberg College",matched,135.0,127.0,6.0,6.0,5.0,5.0,Computer Networking; IoT Systems; Cybersecurity,"{'2019': 1, '2020': 7, '2021': 20, '2022': 18, '2023': 32, '2024': 29, '2025': 22, '2026': 6}"
James Russell,Associate Professor,Muhlenberg College,psychology,matched_name,,,,,,,emotion,
Elyn Rykken,Professor,Muhlenberg College,,no_url,,,,,,,,
Gary Shufelt,Adjunct Professor,Muhlenberg College,Professor of BiologyMuhlenberg College,matched_college,,,,,,,Sustainability; Plant-Insect Interactions; Climate Change; Conservation Biology,
Hamed Yaghoobian,Assistant Professor,Muhlenberg College,"Assistant Professor of Computer Science,Muhlenberg College",matched,82.0,79.0,4.0,4.0,3.0,3.0,natural language processing; human-ai interaction; science and technology studies,"{'2015': 2, '2016': 1, '2017': 1, '2018': 9, '2019': 11, '2020': 17, '2021': 29, '2022': 11}"
Fahmida Hamid,Assistant Professor,New College of Florida,New College of Florida,matched,34.0,25.0,3.0,3.0,1.0,1.0,Natural Language Processing; Information Retrieval; Recommender Systems; Computer Science Education,"{'2015': 1, '2016': 3, '2017': 1, '2018': 1, '2019': 3, '2020': 1, '2021': 2, '2022': 3, '2023': 5, '2024': 9, '2025': 5}"
David Gillman,Associate Professor,New College of Florida,,no_match,,,,,,,,
Daniel Page,Visiting Assistant Professor,New College of Florida,,no_url,,,,,,,,
Gil Salu,Visiting Assistant Professor,New College of Florida,,no_match,,,,,,,,
Cynthia Taylor,Associate Professor,Oberlin College,Oberlin College,matched,1093.0,692.0,16.0,13.0,19.0,14.0,computer science pedagogy,"{'2007': 4, '2008': 8, '2009': 3, '2010': 10, '2011': 7, '2012': 10, '2013': 21, '2014': 35, '2015': 15, '2016': 19, '2017': 27, '2018': 51, '2019': 75, '2020': 110, '2021': 157, '2022': 128, '2023': 134, '2024': 128, '2025': 97, '2026': 47}"
Stephen Checkoway,Associate Professor,Oberlin College,Associate Professor atOberlin College,matched,8523.0,3378.0,17.0,13.0,21.0,15.0,Computer Security,"{'2010': 47, '2011': 121, '2012': 189, '2013': 230, '2014': 330, '2015': 524, '2016': 645, '2017': 739, '2018': 764, '2019': 739, '2020': 767, '2021': 655, '2022': 697, '2023': 653, '2024': 619, '2025': 596, '2026': 158}"
Adam Eck,Associate Professor,Oberlin College,"David H. and Margaret W. Barker Associate Professor of Computer Science,Oberlin College",matched,674.0,344.0,13.0,9.0,14.0,9.0,Multiagent systems; decision making under uncertainty; open agent systems; applied machine learning,"{'2009': 2, '2010': 5, '2011': 1, '2012': 2, '2013': 14, '2014': 19, '2015': 31, '2016': 7, '2017': 19, '2018': 20, '2019': 39, '2020': 51, '2021': 44, '2022': 38, '2023': 111, '2024': 74, '2025': 64, '2026': 12}"
Molly Q Feldman,Assistant Professor,Oberlin College,"Department of Computer Science,Oberlin College",matched,800.0,773.0,9.0,9.0,9.0,9.0,human-computer interaction; programming languages; education,"{'2019': 10, '2020': 13, '2021': 8, '2022': 15, '2023': 60, '2024': 188, '2025': 377, '2026': 124}"
Joshua H. Davidson,Assistant Professor,Oberlin College,"Assistant Professor of Statistics and Data Science,Oberlin College",matched,124.0,115.0,8.0,8.0,6.0,4.0,transportation; spatial science; equity; gis,"{'2019': 3, '2020': 2, '2021': 6, '2022': 12, '2023': 25, '2024': 29, '2025': 30, '2026': 12}"
Mary Hogan,Assistant Professor,Oberlin College,"Assistant Professor,Oberlin College",matched,120.0,110.0,4.0,3.0,3.0,3.0,Software Defined Networking; Programmable Data Planes,"{'2017': 1, '2018': 3, '2019': 3, '2020': 3, '2021': 8, '2022': 21, '2023': 23, '2024': 33, '2025': 22, '2026': 3}"
Roberto Hoyle,Associate Professor,Oberlin College,"Assistant Professor,Oberlin College",matched,1241.0,773.0,14.0,14.0,15.0,14.0,Privacy; Security; Machine Learning,"{'2014': 4, '2015': 32, '2016': 63, '2017': 71, '2018': 73, '2019': 86, '2020': 131, '2021': 135, '2022': 154, '2023': 138, '2024': 147, '2025': 152, '2026': 47}"
Howard Levinson,Assistant Professor,Oberlin College,"Assistant Professor of Computer Science,Oberlin College",matched,97.0,52.0,6.0,5.0,3.0,0.0,Inverse problems; numerical analysis; computational methods,"{'2011': 1, '2012': 3, '2013': 2, '2014': 3, '2015': 8, '2016': 4, '2017': 11, '2018': 2, '2019': 11, '2020': 10, '2021': 9, '2022': 8, '2023': 8, '2024': 10, '2025': 7}"
Michael McCarrin,Assistant Professor,Oberlin College,"Professor of Politics,Oberlin College",matched_college,,,,,,,,
Sam Taggart,Associate Professor,Oberlin College,"Assistant Professor,Oberlin College",matched,272.0,152.0,8.0,6.0,8.0,6.0,Game Theory; Algorithms; Mechanism Design,"{'2012': 2, '2013': 6, '2014': 7, '2015': 15, '2016': 7, '2017': 14, '2018': 15, '2019': 19, '2020': 34, '2021': 26, '2022': 27, '2023': 33, '2024': 32, '2025': 29, '2026': 5}"
Emily Wang,Assistant Professor,Oberlin College,Assistant Professor of Computer Science atOberlin College,matched,133.0,118.0,3.0,3.0,3.0,3.0,Accessibility; Assistive/Adaptive Technology; Human-Computer Interaction; Critical Disability Studies,"{'2019': 3, '2020': 11, '2021': 15, '2022': 22, '2023': 19, '2024': 24, '2025': 27, '2026': 11}"
Noel Warford,Visiting Assistant Professor,Oberlin College,"Visiting Assistant Professor,Oberlin College",matched,526.0,521.0,7.0,7.0,7.0,7.0,usable security; digital surveillance,"{'2021': 32, '2022': 46, '2023': 95, '2024': 110, '2025': 175, '2026': 63}"
Justin Li,Associate Professor,Occidental College,Occidental College,matched,80.0,26.0,6.0,3.0,3.0,0.0,Artificial Intelligence,"{'2012': 4, '2013': 9, '2014': 6, '2015': 9, '2016': 8, '2017': 7, '2018': 7, '2019': 2, '2020': 1, '2021': 6, '2022': 6, '2023': 8, '2024': 2, '2025': 4}"
Hector M. Camarillo Abad,Assistant Professor,Occidental College,"Assistant Professor, Computer Science,Occidental College",matched,100.0,93.0,6.0,6.0,6.0,4.0,Artificial Intelligence; Wearable Technology; Haptic Communication,"{'2019': 4, '2020': 3, '2021': 14, '2022': 10, '2023': 5, '2024': 15, '2025': 37, '2026': 12}"
Kathryn Leonard,Professor,Occidental College,"Dept of Computer Science,Occidental College",matched,337.0,206.0,10.0,9.0,14.0,8.0,shape modeling; image analysis; computational geometry,"{'2005': 2, '2006': 3, '2007': 2, '2008': 8, '2009': 4, '2010': 3, '2011': 1, '2012': 3, '2013': 9, '2014': 4, '2015': 5, '2016': 15, '2017': 15, '2018': 29, '2019': 27, '2020': 41, '2021': 42, '2022': 31, '2023': 35, '2024': 45, '2025': 11}"
Teddy Pozo,Assistant Professor,Occidental College,Unknown affiliation,manual_approved,232.0,174.0,2.0,2.0,2.0,2.0,,"{'2019': 22, '2020': 32, '2021': 26, '2022': 27, '2023': 34, '2024': 31, '2025': 44, '2026': 12}"
Joel Walsh,Assistant Professor,Occidental College,"Assistant Professor of Computer Science,Occidental College",matched,40.0,40.0,2.0,2.0,1.0,1.0,Natural Language Processing; Multimodal models; Teaching and Learning,"{'2022': 3, '2023': 7, '2024': 12, '2025': 15, '2026': 2}"
Meiqing Zhang,Assistant Professor,Occidental College,Occidental College,matched,509.0,509.0,3.0,3.0,2.0,2.0,Computational social science; political communication,"{'2022': 10, '2023': 45, '2024': 159, '2025': 214, '2026': 74}"
Hsing-Hau Chen,Associate Professor,Occidental College,Occidental College,matched_college,,,,,,,Vatican diplomacy; Catholic Church; democratization,
Chris Cianci,Assistant Professor,Occidental College,,no_match,,,,,,,,
Treena Basu,Associate Professor,Occidental College,"Associate Professor of Mathematics,Occidental College",matched,1227.0,722.0,7.0,7.0,7.0,6.0,mathematics; physics,"{'2012': 7, '2013': 20, '2014': 33, '2015': 62, '2016': 55, '2017': 75, '2018': 66, '2019': 93, '2020': 81, '2021': 80, '2022': 84, '2023': 130, '2024': 201, '2025': 198, '2026': 29}"
Mehwish Abbasi,Assistant Professor,Ohio Wesleyan University,Project Engineer,matched_name,,,,,,,Energy; Pipeline,
Tzu-Yi Chen,Professor,Pomona College,Pomona College Graduate of Computer Science and Neuroscience,matched_college,,,,,,,Computer Vision; Human Computer Interaction; Assistive Technology,
Eleanor Birrell,Associate Professor,Pomona College,Pomona College,matched,842.0,641.0,16.0,13.0,19.0,15.0,,"{'2011': 4, '2012': 12, '2013': 8, '2014': 10, '2015': 25, '2016': 23, '2017': 23, '2018': 28, '2019': 27, '2020': 30, '2021': 36, '2022': 66, '2023': 117, '2024': 170, '2025': 184, '2026': 67}"
Anthony Clark,Assistant Professor,Pomona College,"Assistant Professor,Pomona College",matched,283.0,140.0,9.0,7.0,9.0,6.0,robotics; autonomous system; evolutionary robotics; simulation; deep learning,"{'2012': 1, '2013': 11, '2014': 7, '2015': 10, '2016': 19, '2017': 14, '2018': 24, '2019': 31, '2020': 25, '2021': 26, '2022': 34, '2023': 19, '2024': 24, '2025': 26, '2026': 11}"
David R. Kauchak,Professor,Pomona College,"Professor of Computer Science,Pomona College",matched,2859.0,1199.0,20.0,18.0,29.0,24.0,natural language processing; machine learning; text simplification,"{'2005': 10, '2006': 17, '2007': 35, '2008': 43, '2009': 57, '2010': 60, '2011': 52, '2012': 58, '2013': 84, '2014': 110, '2015': 135, '2016': 167, '2017': 169, '2018': 220, '2019': 182, '2020': 224, '2021': 221, '2022': 256, '2023': 265, '2024': 219, '2025': 190, '2026': 47}"
Jingyi Li,Assistant Professor,Pomona College,"Assistant Professor of Computer Science,Pomona College",matched,872.0,725.0,10.0,10.0,10.0,10.0,human-computer interaction,"{'2016': 8, '2017': 14, '2018': 27, '2019': 48, '2020': 43, '2021': 93, '2022': 89, '2023': 136, '2024': 126, '2025': 188, '2026': 93}"
Joseph C. Osborn,Associate Professor,Pomona College,Pomona College,matched,964.0,525.0,18.0,11.0,26.0,19.0,Artificial Intelligence; Game Design; Computer-Aided Game Design; Human-Computer Interaction; Computer Science,"{'2014': 7, '2015': 20, '2016': 44, '2017': 66, '2018': 105, '2019': 83, '2020': 109, '2021': 120, '2022': 90, '2023': 98, '2024': 97, '2025': 98, '2026': 22}"
Alexandra Papoutsaki,Associate Professor,Pomona College,"Associate Professor,Pomona College",matched,2377.0,1495.0,13.0,13.0,15.0,14.0,Human Computer Interaction,"{'2015': 39, '2016': 96, '2017': 161, '2018': 178, '2019': 171, '2020': 218, '2021': 259, '2022': 262, '2023': 242, '2024': 299, '2025': 328, '2026': 103}"
Sam Thomas,Assistant Professor,Pomona College,Pomona College,matched,18.0,16.0,3.0,3.0,0.0,0.0,computer architecture; hardware security; secure memory,"{'2019': 1, '2020': 1, '2021': 1, '2022': 2, '2023': 2, '2024': 8, '2025': 2}"
Andrew T. Wilson,Lecturer,Pomona College,,no_match,,,,,,,,
Yuqing Melanie Wu,Professor,Pomona College,Pomona College,matched_college,,,,,,,computational neuroscience; network science; spiking neural networks,
Michael Zlatin,Assistant Professor,Pomona College,"Assistant Professor,Pomona College",matched,49.0,46.0,5.0,4.0,2.0,2.0,Combinatorial Optimization,"{'2019': 1, '2020': 2, '2021': 1, '2022': 4, '2023': 6, '2024': 13, '2025': 15, '2026': 6}"
Gregory Goeckel,Professor,Presbyterian College,,no_match,,,,,,,,
Olivia Nche,Assistant Professor,Presbyterian College,,no_match,,,,,,,,
Marc Ordower,Visiting Associate Professor,Randolph College,,no_match,,,,,,,,
Brad Spendlove,Associate Professor,Randolph College,"Assistant Professor, Randolph College",matched,64.0,55.0,4.0,4.0,2.0,2.0,Computational Creativity,"{'2018': 1, '2019': 3, '2020': 5, '2021': 11, '2022': 5, '2023': 11, '2024': 11, '2025': 16}"
Jia Wan,Associate Professor,Randolph College,"Professor of Computer Science, Harbin Institute of Technology (Shenzhen)",matched_name,,,,,,,Computer Vision; Machine Learning; Crowd Counting; Biomedical Image Analysis,
Rance Necaise,Associate Professor,Randolph-Macon College,"Associate Professor of English,Randolph-Macon College",matched_college,,,,,,,Modernism; Modern and Contemporary Poetry; Sociology of Literature; Disability Studies,
Maha Elouni,Assistant Professor,Randolph-Macon College,Unknown affiliation,matched_name,,,,,,,,
Robin M. Givens,Associate Professor,Randolph-Macon College,"Associate Professor of English,Randolph-Macon College",matched_college,,,,,,,Modernism; Modern and Contemporary Poetry; Sociology of Literature; Disability Studies,
Samuel Henry,Assistant Professor,Randolph-Macon College,Randolph Macon College,matched,1346.0,1094.0,16.0,15.0,22.0,18.0,Natural Language Processing; Question Answering; Information Extraction; Information Retrieval,"{'2016': 7, '2017': 9, '2018': 28, '2019': 57, '2020': 129, '2021': 164, '2022': 219, '2023': 220, '2024': 221, '2025': 222, '2026': 48}"
John W. McManus,Associate Professor,Randolph-Macon College,Randolph-Macon College,matched_college,,,,,,,Photovoltaics,
La Toria H. Tookes,Senior Lecturer,Randolph-Macon College,,no_match,,,,,,,,
Greg Anderson,Assistant Professor,Reed College,University of Texas at Austin,matched_name,,,,,,,formal methods; machine learning; program synthesis,
Erica Blum,Assistant Professor,Reed College,Reed College,matched,432.0,405.0,10.0,10.0,10.0,10.0,Cryptography; Theory; Computer Security,"{'2019': 3, '2020': 22, '2021': 38, '2022': 48, '2023': 87, '2024': 68, '2025': 122, '2026': 40}"
Jim Fix,Professor,Reed College,"Assistant Professor,Reed College",matched_college,,,,,,,Chemistry education research; knowledge activation; interdisciplinary competency; materials chemistry,
Adam Groce,Associate Professor,Reed College,Reed College,matched,894.0,486.0,13.0,12.0,13.0,12.0,,"{'2010': 3, '2011': 7, '2012': 15, '2013': 29, '2014': 43, '2015': 36, '2016': 37, '2017': 50, '2018': 50, '2019': 57, '2020': 76, '2021': 61, '2022': 107, '2023': 103, '2024': 91, '2025': 100, '2026': 24}"
Harper Knittel,Assistant Professor,Reed College,,no_match,,,,,,,,
Charles McGuffey,Assistant Professor,Reed College,"Assistant Professor,Reed College",matched,357.0,263.0,9.0,9.0,9.0,9.0,Caching; Non-Volatile Memory; Parallelism; Algorithm & Data Structure Design,"{'2015': 3, '2016': 2, '2017': 4, '2018': 23, '2019': 24, '2020': 35, '2021': 39, '2022': 44, '2023': 42, '2024': 31, '2025': 84, '2026': 23}"
Mark Cooper,Adjunct Assistant Professor,Rhodes College,Professor of Prediction Based Crop Improvement,matched_name,,,,,,,Quantitative Genetics; Plant Breeding,
Jace King,Visiting Assistant Professor,Rhodes College,,no_match,,,,,,,,
Phillip Kirlin,Associate Professor,Rhodes College,"Associate Professor of Computer Science,Rhodes College",matched,213.0,71.0,7.0,6.0,7.0,2.0,artificial intelligence; machine learning; music informatics,"{'2006': 5, '2007': 4, '2008': 4, '2009': 7, '2010': 7, '2011': 8, '2012': 5, '2013': 5, '2014': 8, '2015': 21, '2016': 14, '2017': 6, '2018': 19, '2019': 10, '2020': 14, '2021': 19, '2022': 9, '2023': 12, '2024': 11, '2025': 17, '2026': 3}"
Sean Kugele,Assistant Professor,Rhodes College,Rhodes College,matched,266.0,197.0,8.0,7.0,6.0,4.0,neuro-symbolic systems; cognitive architectures; LIDA; reinforcement learning; AI,"{'2008': 4, '2009': 3, '2010': 2, '2011': 2, '2012': 4, '2013': 3, '2014': 5, '2015': 4, '2016': 13, '2017': 8, '2018': 16, '2019': 26, '2020': 27, '2021': 49, '2022': 33, '2023': 46, '2024': 15}"
