college,academic_year,term,course_code,section,course_name,instructor,time,url,category
Washington and Lee University,2024-25,W,CSCI 112,01,Data Structures,Taha Khan,,,Core
Washington and Lee University,2024-25,W,CSCI 112,02,Data Structures,Liz Matthews,,,Core
Washington and Lee University,2024-25,W,CSCI 210,01,Computer Organization,William Tolley,,,Core
Washington and Lee University,2024-25,W,CSCI 210,02,Computer Organization,William Tolley,,,Core
Washington and Lee University,2024-25,W,CSCI 211,01,Algorithm Design and Analysis,Kefu Lu,,,Core
Washington and Lee University,2024-25,W,CSCI 211,02,Algorithm Design and Analysis,Kefu Lu,,,Core
Washington and Lee University,2024-25,W,CSCI 312,01,Programming Language Design,Simon Levy,,,Programming languages
Washington and Lee University,2024-25,W,CSCI 315,01,Artificial Intelligence,Simon Levy,,,Artificial intelligence
Washington and Lee University,2024-25,W,CSCI 340,01,Computer Graphics,Liz Matthews,,,Computer graphics
Washington and Lee University,2024-25,W,CSCI 401G,01,Directed Study: Vector Symbolic Architectures,Simon Levy,,,Misc
Washington and Lee University,2024-25,W,CSCI 401H,01,Directed Study: Engineering Open Source Tools for Linux,William Tolley,,,Misc
Washington and Lee University,2024-25,W,CSCI 493,01,Honors Thesis,Liz Matthews,,,Misc
Washington and Lee University,2024-25,S,CSCI 250,01,Introduction to Robotics,Simon Levy,,,Robotics
Washington and Lee University,2024-25,S,CSCI 397F,01,"Topics: Power, Politics, and the Internet: The Technology Behind Online Censorship",Taha Khan,,,Other
Washington and Lee University,2025-26,F,CSCI 111,01,Introduction to Computer Science,Sana Habib,,,Core
Washington and Lee University,2025-26,F,CSCI 111,02,Introduction to Computer Science,Liz Matthews,,,Core
Washington and Lee University,2025-26,F,CSCI 111,03,Introduction to Computer Science,Cody Watson,,,Core
Washington and Lee University,2025-26,F,CSCI 209,01,Software Development,Sara Sprenkle,,,Software engineering
Washington and Lee University,2025-26,F,CSCI 209,02,Software Development,Sara Sprenkle,,,Software engineering
Washington and Lee University,2025-26,F,CSCI 209,03,Software Development,Simon Levy,,,Software engineering
Washington and Lee University,2025-26,F,CSCI 313,01,Theory of Computation,Simon Levy,,,Algorithms & complexity
Washington and Lee University,2025-26,F,CSCI 313,02,Theory of Computation,Simon Levy,,,Algorithms & complexity
Washington and Lee University,2025-26,F,CSCI 321,01,Computer Networks,Sana Habib,,,Computer networks
Washington and Lee University,2025-26,F,CSCI 401J,01,Dir Study: Nonlinear Gaming Skill Demographics,Liz Matthews,,,Misc
Washington and Lee University,2025-26,F,CSCI 401K,01,Directed Study: Enterprise Software Development,Simon Levy,,,Misc
Washington and Lee University,2025-26,F,CSCI 403E,01,Directed Study: Analog Spiking Neural Networks,Simon Levy,,,Misc
Washington and Lee University,2025-26,F,CSCI 493,01,Honors Thesis,Simon Levy,,,Misc
Washington and Lee University,2025-26,F,CSCI 493,02,Honors Thesis,Kefu Lu,,,Misc
Washington and Lee University,2025-26,W,CSCI 111,01,Introduction to Computer Science,Sara Sprenkle,,,Core
Washington and Lee University,2025-26,W,CSCI 111,02,Introduction to Computer Science,Liz Matthews,,,Core
Washington and Lee University,2025-26,W,CSCI 112,01,Data Structures,Sana Habib,,,Core
Washington and Lee University,2025-26,W,CSCI 112,02,Data Structures,Sana Habib,,,Core
Washington and Lee University,2025-26,W,CSCI 210,01,Computer Organization,Kefu Lu,,,Core
Washington and Lee University,2025-26,W,CSCI 210,02,Computer Organization,Kefu Lu,,,Core
Washington and Lee University,2025-26,W,CSCI 211,01,Algorithm Design and Analysis,Kefu Lu,,,Core
Washington and Lee University,2025-26,W,CSCI 312,01,Programming Language Design,Simon Levy,,,Programming languages
Washington and Lee University,2025-26,W,CSCI 315,01,Artificial Intelligence,Simon Levy,,,Artificial intelligence
Washington and Lee University,2025-26,W,CSCI 315,02,Artificial Intelligence,Simon Levy,,,Artificial intelligence
Washington and Lee University,2025-26,W,CSCI 319,01,Video Game Design,Liz Matthews,,,Games & interactive art
Washington and Lee University,2025-26,W,CSCI 401L,01,Dir Study: C++ Programming for Embedded Applications,Simon Levy,,,Misc
Washington and Lee University,2025-26,W,CSCI 493,01,Honors Thesis,Simon Levy,,,Misc
Washington and Lee University,2025-26,W,CSCI 493,02,Honors Thesis,Kefu Lu,,,Misc
Washington and Lee University,2025-26,S,CSCI 316,01,Advanced Topics in Robotics,Simon Levy,,,Robotics
